pvt,process_section,mim_section,vdd_v,temp_c,job_id,phase,role,method_id,mismatch_seed,noise_mode,noise_seed,band,warmup_frames,total_frames,maxstep_ns,frame_index,phase_index,view,retained,ideal_vid_v,commanded_vid_v,code,bits,valid,complete_v,invalid_v,timeout_v,sampled_diff_v,input_diff_v,complete_time_s,stable_margin_s
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,24,24,STEADY_STATE_RETAINED,True,-1.4568184316989683,-1.456905580089788,19,00010011,True,3.3,0.0,0.0,-1.45724,-1.4569,1.23755e-05,1.0450000000000044e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,25,25,STEADY_STATE_RETAINED,True,-0.8994522712850329,-0.8994851892308527,61,00111101,True,3.3,0.0,0.0,-0.90145,-0.899475,1.28755e-05,1.0449999999999875e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,26,26,STEADY_STATE_RETAINED,True,0.0662464156905973,0.06622685719259505,134,10000110,True,3.3,0.0,0.0,0.0686448,0.0662368,1.33755e-05,1.0450000000000044e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,27,27,STEADY_STATE_RETAINED,True,1.0018706149383227,1.0019320038404969,204,11001100,True,3.3,0.0,0.0,1.00048,1.00194,1.38755e-05,1.0450000000000044e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,28,28,STEADY_STATE_RETAINED,True,1.482666500837955,1.4825347182742559,241,11110001,True,3.3,0.0,0.0,1.48059,1.48254,1.43755e-05,1.0450000000000044e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,29,29,STEADY_STATE_RETAINED,True,1.2903627930586585,1.290384435326113,226,11100010,True,3.3,0.0,0.0,1.29074,1.29039,1.48755e-05,1.0450000000000044e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,30,30,STEADY_STATE_RETAINED,True,0.5122613544914112,0.5122853188852311,167,10100111,True,3.3,0.0,0.0,0.511615,0.512295,1.53755e-05,1.0449999999999875e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,31,31,STEADY_STATE_RETAINED,True,-0.4983960293074411,-0.49840742656491327,91,01011011,True,3.3,0.0,0.0,-0.499458,-0.498397,1.58755e-05,1.0449999999999875e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,32,32,STEADY_STATE_RETAINED,True,-1.2827920356296636,-1.282766778974805,32,00100000,True,3.3,0.0,0.0,-1.28466,-1.28276,1.63755e-05,1.0449999999999875e-07
TT_3P3_27C,typical,mimcap_typical,3.3,27,PVT3_TT_3P3_27C_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S044_LOW_W4,P4_PVT_TT_MC20_LOW,CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_PVT3_MC20_LOW,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,33,33,STEADY_STATE_RETAINED,True,-1.4848272767569517,-1.4847325306915289,17,00010001,True,3.3,0.0,0.0,-1.48223,-1.48472,1.68755e-05,1.0449999999999536e-07
