seed_order,seed_group,mismatch_seed,pvt,baseline_hard_dynamic_pass,resized_hard_dynamic_pass,hard_dynamic_transition,baseline_snr_budget_pass,resized_snr_budget_pass,snr_budget_transition,baseline_codes_all_checksum,resized_codes_all_checksum,baseline_codes_retained_checksum,resized_codes_retained_checksum,baseline_SNR_dB,resized_SNR_dB,delta_resize_minus_baseline_SNR_dB,baseline_SNDR_dB,resized_SNDR_dB,delta_resize_minus_baseline_SNDR_dB,baseline_ENOB_raw_bit,resized_ENOB_raw_bit,delta_resize_minus_baseline_ENOB_raw_bit,baseline_SFDR_dBc,resized_SFDR_dBc,delta_resize_minus_baseline_SFDR_dBc,baseline_THD_dB,resized_THD_dB,delta_resize_minus_baseline_THD_dB,baseline_HD2_dBc,resized_HD2_dBc,delta_resize_minus_baseline_HD2_dBc,baseline_HD3_dBc,resized_HD3_dBc,delta_resize_minus_baseline_HD3_dBc
11,MIDDLE_TAIL,128,TT_3P3_27C,False,True,FAIL_TO_PASS,False,False,FAIL_STAYS_FAIL,eb73b68e384b41b57608be5f9417d726bbfdc0210663cf791c036e0c6e6635a3,ddb377e4340c8dc6a38a16fe2dc60da0489fc2d9e83c8e318b58afd24ef52bd7,27d8c3b63e1f60fbc1d2e98441f6a502f84d92278f3924e82bbfd3d994d602eb,d4ca2891c746e869d003b2168ef59f27d5f5b45a347e7ff1e682c500c0ee8e95,44.30586529676549,47.785596903734096,3.479731606968606,43.89385383664242,47.50124331175341,3.607389475110992,6.998979042631632,7.59821317470987,0.5992341320782382,51.46986181322625,54.56204842739364,3.092186614167389,-54.326981208280536,-59.4819003115757,-5.154919103295164,-71.2976817350233,-74.27007656797814,-2.9723948329548335,-63.769274697041986,-64.82570489365136,-1.0564301966093765
12,MIDDLE_TAIL,189,TT_3P3_27C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,036897c3b38747758aec4d6d64c30ca5cf3cc571130119aa05a707b3095a21e9,d4584e6835c6cfb49be039232380006ce809a132fb8807caee995e32bc06bd1f,578a9892e0990969b94797f68dd433361d83ca14f64582e5fe6306113f896369,d6e58540971d68a4f4f91b568f537c39291e5f2361383aac59a8956ae3e68cc7,48.64750566702328,49.236098980458024,0.5885933134347425,48.16943228378234,48.66612699840785,0.4966947146255052,7.709208020561852,7.791715448240507,0.08250742767865482,55.71191794777744,56.97115379522623,1.2592358474487924,-57.98917388726583,-57.76730465447616,0.22186923278966475,-71.75416306012724,-71.16756122950243,0.5866018306248151,-67.94692673335084,-69.10198397617289,-1.1550572428220534
13,MARGINAL_DIAGNOSTIC,116,TT_3P3_27C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,9a308164130e57ef024fb623b1350601adc8f72000e8a6fa538fd6d674e1ea46,cbb0a2d3525bccea0dde9037442d18f32c6eda1c86aeb736fb887f5e1a82c1f0,5b9d96d75691dc5b47e32143b1e7ffee614281bd36e5ba23fa9438144792b4cf,b96cb468af2664e1c9e8c8f585cf2c81d3aef519e65983a2653b4b8c6f94e6b9,48.65633513876864,50.31349779029223,1.657162651523592,47.783439289550344,49.099828974247956,1.3163896846976115,7.645089582981786,7.86375896582192,0.21866938284013404,57.97878606106198,57.600167304329524,-0.3786187567324575,-55.18079830232559,-55.229381708479266,-0.04858340615367496,-57.97878606106198,-60.37672870611813,-2.3979426450561476,-59.4195231494594,-70.27432985974099,-10.854806710281586
14,MARGINAL_DIAGNOSTIC,190,TT_3P3_27C,True,True,PASS_STAYS_PASS,False,True,FAIL_TO_PASS,ebfc189f6beeb5b1a2fc0fc9315f9f4f74e8d868d74b61837469d1e111f92e8a,81d0ead9789da0eeb5d1aaaec81ae4ed8661742a926ad259dfb6ffee56159034,a34bb9b821aa234a817acc6af0338b2c571dac05b40719e4473216f3a083e1c3,c9e87bef5fa141fdbb815a5f3cd4fc55e0a35372b8e626f00faa6989ca8cb73e,47.86908575849953,49.275253618074935,1.4061678595754046,46.94175602361531,48.256310088554066,1.3145540649387542,7.505275086979289,7.7236395495937,0.218364462614411,56.1297675958197,55.867284037025044,-0.26248355879465635,-54.10267492114617,-55.052167333761616,-0.9494924126154487,-62.670318981700355,-65.64548594190582,-2.9751669602054633,-66.82909761253588,-68.74164503143516,-1.9125474188992797
15,MARGINAL_DIAGNOSTIC,45,TT_3P3_27C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,379bd775840ccfc432f7fa3a7c4ecd73d83512ede90d4f22abebd7f2821db3d3,48c224e6669fdb6f46451e92389f21f42ab6385fe764cfe5b38d41f4b882cbfd,c50f45b2c96e2e9ab9781ce7143b64767d3f2cdd8e3b3f7cbeef3fcc913e6b56,17d1f531f2878436461bdec9fb3fec046c2773c676e010137760c8585da213f9,50.045451928914076,50.89743175852932,0.8519798296152459,49.383794732899055,49.001862732521104,-0.38193200037795094,7.910929357624429,7.847485503741048,-0.06344385388338125,58.19153055332216,54.30498250782249,-3.886548045499673,-57.88193664930184,-53.51567552268179,4.366261126620053,-67.39946930796451,-71.05923404448164,-3.6597647365171326,-65.6291452972843,-62.587101652454955,3.0420436448293415
16,MARGINAL_DIAGNOSTIC,188,TT_3P3_27C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,abefab26727c9adcabb659fdfcc8f4d358ec374db8f3d1d9b22b8842670756b8,a09c89e6b09848f9941916b45e2fadbfad0bbc4a7e7b9aef758c41fc342db517,c2f3fd8753a1bdd41050cf7fb2a56185007ad91331f0d854d74859cb2ddd72a5,83223241d18cd0808d33fed6eb99c8a3879228fbd76b8e455398baf7b09885cf,48.688862602358014,48.94400739837821,0.2551447960201969,48.15270512605514,48.4047574089929,0.25205228293776116,7.706429422932748,7.748298572922409,0.04186914998966085,58.0370541613722,58.780980608201155,0.7439264468289579,-57.50294569700209,-57.73153454783341,-0.22858885083132208,-63.657546506443275,-65.56698947329436,-1.9094429668510813,-78.88424532878165,-61.34415606310897,17.540089265672677
17,REFERENCE_CONTROL,142,TT_3P3_27C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,ccc2d23a2d5974aa8349fe85bd666000f8c406d80e813fcb4cde395319d8be44,3bee7192c8410e48f34f784df290f131a0233ab3153b50d46b7dc678a5a332da,a3f3bb335f213a19957fb389390c7d8d9869d6bce2eb83d5974dfd70f807512a,4c1818f36e11fe5b7b43e5b027dc38d0c9c407055a8f3dc15d837596de84017e,48.71018207553094,48.59870710858602,-0.11147496694491821,48.41775029312568,48.039239987719675,-0.37851030540600306,7.7504568593232035,7.687581393308917,-0.06287546601428673,55.093375555656394,56.2591692040246,1.1657936483682079,-60.28074316215009,-57.21606840133495,3.0646747608151372,-69.16865054985819,-76.15247494575625,-6.983824395898068,-75.94840688668027,-59.792675495515894,16.15573139116438
18,REFERENCE_CONTROL,53,TT_3P3_27C,True,True,PASS_STAYS_PASS,False,True,FAIL_TO_PASS,7a2fd02d7efa385d19ca26e36c163ddd742053ac9b07d03ef9b488cc70c34e5e,30f8341c057e6449cc1808f4a0cd4366eabd669da3331f37b6daed41e37ac404,edd2b0973b23ad2da7d6e98075042b06dd296181139528b2448c69df9347c7f2,8cf9f6b8a42834bad2288e09223a5af9d01eb8e1b2042171148ac28c84af8319,48.06133818915437,48.500736378908854,0.43939818975448475,47.49136052443865,48.06148016041141,0.570119635972766,7.596571515687484,7.691275774154721,0.09470425846723707,55.980341817029036,56.47585479364818,0.4955129766191462,-56.59249766042143,-58.229921211449174,-1.6374235510277444,-61.872851401598666,-63.88694840406988,-2.0140970024712104,-76.11512227514295,-71.53526833697374,4.579853938169208
19,REFERENCE_CONTROL,132,TT_3P3_27C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,b89e3b6c33439d34b7125e36594659f7a8ecd87364d1c0c6ec911a1e20839a56,ecd4c732b026e2f16b2a38c9c9855bdd3d2e43581c01967cb5bc23c746e537da,ffcd4206026fca30c04bd3dad5c55b8fe479f1162f7e6c3f1b86b53600405868,5971bfacea57b337cf425cb6bcf1324b8d9cb3c8b99891a92d722d826669302e,49.27125115047935,48.65448541959662,-0.616765730882733,48.67069770888901,48.131314884364386,-0.5393828245246226,7.792474702473258,7.702876226638603,-0.08959847583465486,55.798362149192116,56.843750595806824,1.0453884466147088,-57.5598412403678,-57.58168483794467,-0.02184359757686849,-67.85408002739788,-72.2394014090393,-4.385321381641418,-68.01827605507277,-69.65197716764612,-1.6337011125733483
20,REFERENCE_CONTROL,96,TT_3P3_27C,True,True,PASS_STAYS_PASS,True,True,PASS_STAYS_PASS,4bcdeb74f6caf21b2abd064a0d90708f5191c24271bcf675c8fa059be8a5756e,a9674ad91ade3d8dc18244b4c96dfe5299410100a6a28f506b9a3f346a8a6323,bed31a1b188edcaa6de3e0a44b98b460b36f21f19f7c98571b5dc7f0380fbc4c,f6aeb98e36f608160ed0be959dd726ac557028b62e256ebd34cd6dd5fa4856ab,49.07385083178408,48.83711887037392,-0.2367319614101575,48.37957982900724,48.40490623265608,0.025326403648840312,7.744116250665655,7.748323294461144,0.004207043795489085,58.6400090563253,57.915447505060335,-0.7245615512649621,-56.68464468512661,-58.64008894597207,-1.9554442608454607,-69.60971880089696,-73.7480164046829,-4.138297603785944,-60.39217853922996,-64.23885100960793,-3.8466724703779676
