category,mismatch_seed,noise_seed,repeat_index,frame_index,ideal_vid_v,commanded_vid_v,code,valid,invalid_v,timeout_v,complete_time_s,measurement_stem,measurement_maxstep_ps,measurement_solver_profile
MC200_MAIN,1,100001,,49,-0.2128096759983695,-0.21281107634352295,111,True,0.0,0.0,2.48755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,50,-1.1064685566410837,-1.1064253041478582,44,True,0.0,0.0,2.53755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,51,-1.4978138452031033,-1.4978328836662715,15,True,0.0,0.0,2.58755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,52,-1.2091829624257844,-1.2093190934153004,37,True,0.0,0.0,2.63755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,53,-0.37160829476340085,-0.3716519833680557,100,True,0.0,0.0,2.68755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,54,0.6346687696089551,0.6346329321242696,176,True,0.0,0.0,2.73755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,55,1.352819481424588,1.352831428734126,230,True,0.0,0.0,2.78755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,56,1.4568184316989696,1.4568458601521765,237,True,0.0,0.0,2.83755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,57,0.8994522712850339,0.8994987448807923,195,True,0.0,0.0,2.88755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,58,-0.06624641569059603,-0.06629763736494743,123,True,0.0,0.0,2.93755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,59,-1.0018706149383219,-1.0018518081170997,52,True,0.0,0.0,2.98755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,60,-1.4826665008379531,-1.4826902516356293,16,True,0.0,0.0,3.03755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,61,-1.2903627930586619,-1.2902801003623903,30,True,0.0,0.0,3.08755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,62,-0.5122613544914125,-0.5122806558178201,89,True,0.0,0.0,3.13755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,1,100001,,63,0.4983960293074198,0.49841268678580747,165,True,0.0,0.0,3.18755e-05,fast64_s001_n100001_main,100.0,DEFAULT
MC200_MAIN,2,100002,,0,1.2827920356296627,1.2828544944997136,223,True,0.0,0.0,3.75481e-07,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,1,1.4848272767569515,1.4848604071010696,238,True,0.0,0.0,8.7548e-07,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,2,1.0127819771128357,1.0127235990655084,202,True,0.0,0.0,1.37548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,3,0.08095483381425314,0.08096856825981608,132,True,0.0,0.0,1.87548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,4,-0.887624111535514,-0.887615351269771,59,True,0.0,0.0,2.37548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,5,-1.4532402675617817,-1.4531661708667036,16,True,0.0,0.0,2.87548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,6,-1.359115724610322,-1.359045258678856,23,True,0.0,0.0,3.37548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,7,-0.6479810573451181,-0.6479459273124593,77,True,0.0,0.0,3.87548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,8,0.35732346279269056,0.35726357172357215,153,True,0.0,0.0,4.37549e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,9,1.200410601286161,1.200340534548391,216,True,0.0,0.0,4.87548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,10,1.4985364234506107,1.4985315730509847,239,True,0.0,0.0,5.37548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,11,1.1163580388581014,1.11636518588472,210,True,0.0,0.0,5.87548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
MC200_MAIN,2,100002,,12,0.22737644401506385,0.22745874835700858,143,True,0.0,0.0,6.37548e-06,fast64_s002_n100002_main_strict_retry,50.0,DEFAULT
