baseline_abs_offset_rank_ascending,mismatch_seed,baseline_cap_x1_offset_lsb,offset_lsb,cap_x1div3_minus_baseline_offset_lsb,offset_v,t1_measured_v,lower_v,upper_v,width_lsb,bisection_rounds,elapsed_s,cpu_affinity,result_sha256
74,11,0.34570312500001005,0.5917968750000234,0.24609375000001338,0.00785980224609406,-1.678858947753906,-1.6789367675781248,-1.6787811279296874,0.011718749999996657,7,366.27280121199874,4,0aad4b5b6cf7316374c1236ac6d76e09c87963cea652ddbd0584417af08b4f79
44,12,0.16992187500001005,0.4160156250000234,0.24609375000001338,0.005525207519531561,-1.6811935424804685,-1.6812713623046873,-1.6811157226562499,0.011718749999996657,7,366.38997150499927,12,2355b730e5c3a07bc314d4808f049572bb71a12ba33c9248a9a8a82d17ffa65b
12,13,0.052734375000010034,0.29882812499998995,0.2460937499999799,0.003968811035156117,-1.682749938964844,-1.6828277587890625,-1.682672119140625,0.011718749999996657,7,366.44360007199793,2,f6ad842ac87d309a754bf2e37fbb848388550a13af3ea9a5026d567ffd0b02ce
93,14,0.52148437500001,0.7734374999999967,0.2519531249999867,0.010272216796874956,-1.676446533203125,-1.67655029296875,-1.6763427734375,0.01562499999998997,8,0.24612145600258373,8,94fcf66c967f0dc15d163368694ccb40b9c5254f9fce2fd3d89df24adac4c70a
23,15,0.08789062499998328,0.33398437499999667,0.24609375000001338,0.004435729980468706,-1.6822830200195313,-1.68236083984375,-1.6822052001953125,0.011718749999996657,7,368.0038110940004,14,3239f43e5de710ec73f206e82469645bbe93a47d75c8ca55d13ead27f9907632
9,16,-0.02929687500001672,0.21679687499999667,0.24609375000001338,0.0028793334960937056,-1.6838394165039063,-1.6839172363281252,-1.6837615966796875,0.011718750000013375,7,366.4476061500027,6,45a4dc49560b10f899ae26605c380a37fb8f792ce7038100bb93e8a9cb6f3761
72,17,0.33398437499999667,0.5917968750000234,0.25781250000002676,0.00785980224609406,-1.678858947753906,-1.6789367675781248,-1.6787811279296874,0.011718749999996657,7,367.046557955,8,41b8dfebabbd4901ef04e5d487515e9feebaa07cfacb4f83bbfe793118a8f48a
84,18,0.4160156250000234,0.6621093750000033,0.2460937499999799,0.008793640136718794,-1.6779251098632812,-1.6780029296875,-1.6778472900390626,0.011718749999996657,7,370.05763568199836,0,855fbd8a9a99420e6e0eadedda775dab79b028969e328e0bea0447f523e2d75d
48,19,0.19335937500000336,0.4394531250000167,0.24609375000001335,0.005836486816406472,-1.6808822631835936,-1.6809600830078124,-1.6808044433593747,0.011718750000013375,7,367.40121620599894,10,cc938ce56f2c138eb140f985caa1b6981d19012956de3a32f8e4c1843d5d4560
92,20,0.48632812500000333,0.7324218750000168,0.24609375000001343,0.009727478027343972,-1.676991271972656,-1.677069091796875,-1.6769134521484375,0.011718749999996657,7,0.20851601699905586,4,a7dc465755b2294fe2dea72e9edfbaab04f6bfa9a17b97e8378512d81c83d1c1
95,21,0.53320312499999,0.7890625000000033,0.2558593750000133,0.010479736328125044,-1.676239013671875,-1.6763427734375,-1.6761352539062502,0.01562499999998997,8,0.26548661200286006,4,c0e4356c67a109615e3b870dce8fb2fe521ce8e4ec0a6b6df31ff164bf658b66
29,22,-0.09960937499999666,0.1464843749999833,0.24609374999997996,0.001945495605468528,-1.6847732543945315,-1.6848510742187501,-1.6846954345703127,0.011718749999996657,7,366.462418031002,4,96a205a53f4d86f99fee6c1e66decfb277c1b6c6da7f5470611af88ab8feb45a
24,23,0.08789062499998328,0.34570312500001005,0.25781250000002676,0.004591369628906383,-1.6821273803710937,-1.6822052001953125,-1.6820495605468748,0.011718750000013375,7,365.69611591899957,12,33663ca484461ec6320afd00e85ed01c0915cd8db08eb3dea800d1c114e4e6d1
67,24,0.29882812499998995,0.5566406250000168,0.2578125000000268,0.007392883300781472,-1.6793258666992186,-1.6794036865234374,-1.679248046875,0.011718749999996657,7,366.4992278389982,2,bfb30890658aec960c1324ed7f7a329ae97a70b8ac2dad85b70b129c231f1e87
38,25,0.1464843749999833,0.39257812499999667,0.24609375000001338,0.005213928222656206,-1.6815048217773438,-1.6815826416015625,-1.681427001953125,0.011718749999996657,7,368.5682411790003,6,185129b40fe90970992a03548dad0abdcfff3937ae2344457468b3f0679dd9f1
25,26,-0.08789062499998328,0.16992187500001005,0.25781249999999334,0.0022567749023438832,-1.6844619750976562,-1.684539794921875,-1.6843841552734375,0.011718749999996657,7,367.49172693999935,8,ffdfd8a630d6701de7c945533595f12c2b7d6bea521343f86b6503c4d3763fa9
49,27,0.19335937500000336,0.4394531250000167,0.24609375000001335,0.005836486816406472,-1.6808822631835936,-1.6809600830078124,-1.6808044433593747,0.011718750000013375,7,368.36789913399843,14,db760bd2f3c8db7bcb6506ce562b9e89e172ff8a169fd118a69e15f7ae44ccbe
13,28,-0.052734375000010034,0.19335937500000336,0.24609375000001338,0.0025680541992187944,-1.6841506958007812,-1.684228515625,-1.6840728759765626,0.011718749999996657,7,369.2742809739975,0,91a9077584b3e4531254ea63780c28203092b4191175a9b421b4328064d64410
45,29,0.16992187500001005,0.4160156250000234,0.24609375000001338,0.005525207519531561,-1.6811935424804685,-1.6812713623046873,-1.6811157226562499,0.011718749999996657,7,360.3942832080029,10,ac2aee6fc7eadc0e0c38a9e10149b4fc64f44eb8e0e3d45595ae4cf956d9527a
66,30,0.28710937500001005,0.53320312499999,0.24609374999997996,0.007081604003906117,-1.679637145996094,-1.6797149658203125,-1.679559326171875,0.011718749999996657,7,360.58279499700075,12,b864f078a449291488d1e1bb5efbb78f1f7668d1ca989ff8bddcd65788439b0d
