target_transition,lower_v,transition_v,upper_v,inl_ep_lsb
60,-0.9220248004582924,-0.9219469806340737,-0.9218691608098548,0.005868038442580879
61,-0.9082962396576648,-0.9082184198334461,-0.9081406000092274,0.041076269098082895
62,-0.89503459780235,-0.8949567779781312,-0.8948789581539125,0.041076269098082895
63,-0.8876872625876602,-0.8876094427634413,-0.8875316229392226,-0.40489465253819784
64,-0.8876549908495326,-0.8875512310839075,-0.8874474713182826,-1.4005051749630326
65,-0.8547827532910927,-0.8547049334668739,-0.8546271136426551,0.07628449975356817
66,-0.8415211114357777,-0.841443291611559,-0.8413654717873402,0.07628449975356817
67,-0.8279481902835877,-0.827870370459369,-0.8277925506351502,0.09975665352390005
68,-0.8151534673735852,-0.8150756475493665,-0.8149978277251477,0.06454842286840641
69,-0.8015805462213954,-0.8015027263971766,-0.8014249065729578,0.0880205766387383
70,-0.7883189043660803,-0.7882410845418616,-0.7881632647176429,0.0880205766387383
71,-0.7745903435654529,-0.7745125237412341,-0.7744347039170154,0.12322880729423194
72,-0.7627294585460753,-0.7626516387218566,-0.7625738188976379,0.017604115327751007
73,-0.7488452580970104,-0.7487674382727917,-0.748689618448573,0.06454842286840641
74,-0.7355836162416955,-0.7355057964174767,-0.735427976593258,0.06454842286840641
75,-0.721855055441068,-0.7217772356168493,-0.7216994157926304,0.09975665352390005
76,-0.709215972179503,-0.7091381523552843,-0.7090603325310656,0.05281234598324465
77,-0.6954874113788756,-0.6954095915546568,-0.695331771730438,0.0880205766387383
78,-0.6822257695235607,-0.6821479496993419,-0.6820701298751232,0.0880205766387383
79,-0.6684972087229331,-0.6684193888987143,-0.6683415690744956,0.12322880729423194
80,-0.6583483598363682,-0.6582705400121495,-0.6581927201879307,-0.11149273040907018
81,-0.6427521232544908,-0.6426743034302721,-0.6425964836060534,0.06454842286840641
82,-0.6294904813991757,-0.629412661574957,-0.6293348417507383,0.06454842286840641
83,-0.615917560246986,-0.6158397404227671,-0.6157619205985484,0.0880205766387383
84,-0.6031228373369832,-0.6030450175127645,-0.6029671976885458,0.05281234598324465
85,-0.5895499161847935,-0.5894720963605747,-0.589394276536356,0.07628449975356817
86,-0.5762882743294784,-0.5762104545052597,-0.5761326346810409,0.07628449975356817
87,-0.5625597135288509,-0.5624818937046322,-0.5624040738804135,0.11149273040907018
88,-0.5506988285094736,-0.5506210086852549,-0.5505431888610361,0.005868038442580879
