mismatch_seed,sampler_offset_v,sampler_gain_negative,sampler_gain_positive,sampler_asymmetry_ppm,sampler_fit_rms_v,correction_offset_v,correction_vicm_slope_scaled_v,correction_settling_scale_v,correction_major_fit_max_error_lsb,correction_major_fit_rms_error_lsb,offset_lsb,gain_error_ppm,endpoint_lsb_v,minimum_code_width_lsb,missing_code_count,max_abs_dnl_lsb,max_abs_inl_endpoint_lsb,max_abs_inl_best_fit_lsb,worst_width_lower_code,worst_dnl_lower_transition,worst_inl_transition,static_risk_score,reconstructed_spec_status,cohort_residual_recalibrated
27,9.80547122324183e-06,0.999998974639799,1.0000006105608996,1.6359214398740605,8.276837221961447e-07,0.00397682300918417,-0.034600580528560826,5.5191889408895756e-05,0.05007713626206151,0.0413672194898335,0.41298524370910844,-1252.7842920068144,0.013264611458621784,-0.2835932510572048,2,1.3009666517515472,1.3175174989918308,1.256545159688792,191,192,192,1.3009666517515472,FAIL,True
28,1.008118539331005e-05,1.000000727698698,0.999999426605352,-1.301093245569209,2.2809689307859403e-06,-0.006973596454362131,0.00589393530883683,8.17103154004742e-05,0.010689205065507712,0.007956918178381931,-0.25781316315643343,-1255.4897937342434,0.013264575526176967,0.7997550403660135,0,0.20024495963398647,0.18421632576601776,0.17041517855002186,32,32,32,0.20024495963398647,PASS,True
29,9.903987460492834e-06,1.0000003367048091,1.000000999363543,0.662658291206994,1.0187076912581423e-06,-0.010789917653673174,-0.030519436532856575,7.181387587514082e-05,0.03160915810693254,0.026213740439961563,-0.7826025288617403,-1261.458884913691,0.01326449624918474,-0.12704155376621273,2,1.1270415537662126,1.1449355508388526,1.0776326542217762,191,191,192,1.1270415537662126,FAIL,True
30,1.0118867719090105e-05,0.9999998210075791,0.9999993571119682,-0.4638958015583039,1.7157851086210119e-06,0.030792150757289197,0.018298579410229696,4.246252001989104e-05,0.025543527194342067,0.021164519356955815,2.4762324433249923,-1280.6224891590557,0.013264241732565856,0.27675010870268774,0,0.7232498912973122,0.7068835516107024,0.6745002930991246,64,64,64,0.7232498912973122,PASS,True
31,9.76887599048954e-06,0.9999997766780716,1.0000013032294999,1.5265506039990766,9.08835340930278e-07,0.005450451111844899,-0.007101295690830302,4.284791152334849e-05,0.0058073167917219665,0.0036657849607522833,0.4968207624131584,-1214.0458854098536,0.0132651259530844,0.7335769833885557,0,0.2664230166114443,0.27494737320919777,0.24445668469105727,191,191,192,0.2664230166114443,PASS,True
32,1.014191333913238e-05,0.9999996182529931,0.9999986226855064,-0.9955683623053881,1.2884815767759187e-06,-0.01867307902102192,-0.020192834524336362,5.458337290028243e-05,0.03438279805249976,0.026436189717430475,-1.2649505935403775,-1268.1726712455709,0.01326440708171002,0.25826380965135,0,0.7649727023028907,0.7873169367394984,0.744884479060725,191,192,192,0.7649727023028907,PASS,True
33,9.90855760884251e-06,1.0000002364480634,1.0000013768526461,1.1404036628597438,1.832101410928637e-06,0.005523795858312361,-0.008630943148855888,1.7095211976166104e-05,0.009788530976355648,0.008093568225086115,0.42879720165148805,-1230.6293226391763,0.013264905704308699,0.7292559250828309,0,0.2707440749171691,0.26400082549529963,0.2527163448493531,191,191,64,0.2707440749171691,PASS,True
34,9.78157032963709e-06,0.9999995251803603,1.0000006653309534,1.1401504845538555,6.69159919876786e-07,-0.02499055817712123,-0.023362786251878147,3.45949593767555e-05,0.04069089903108836,0.03371917424878496,-1.6736418347589594,-1264.404091942728,0.013264457133153886,0.055068951956170925,0,0.9449310480438291,0.9106740426997522,0.8701363840776544,191,191,64,0.9449310480438291,PASS,True
35,9.730353053521212e-06,0.9999993955585419,1.0000013082208148,1.912661599850118,1.8191399143866363e-06,0.019199459211600902,-0.0049843932614149515,3.569725482373219e-05,0.00995184951005283,0.006915990794686032,1.60201689011175,-1213.975910573817,0.013265126882437691,0.7879832358672406,0,0.21201676413275938,0.25323498372638004,0.22652908407543756,191,191,192,0.21201676413275938,PASS,True
36,1.001823787160514e-05,1.0000003654355327,1.0000002898524833,-0.07558302461050262,1.652859170307215e-06,0.026231565147831173,0.06122004887276774,2.9176092472221273e-05,0.07309435753306873,0.06008474563486151,2.1277023065002254,-1302.7590550405143,0.013263947731300242,-1.3027230295226333,6,2.314114717433004,2.3005154915484414,2.213765781649307,64,63,64,2.314114717433004,FAIL,True
37,1.0084201175518291e-05,0.9999995465202426,0.9999991268403723,-0.41968014868255615,1.7440794873574796e-06,-0.022096453172030527,-0.02204871484038825,3.722343337400516e-05,0.025294619374645708,0.019918936447495723,-1.4788024205611472,-1285.7268871724336,0.01326417393977974,0.09624004732100055,0,0.9037599526789994,0.8859102435189131,0.8303850429810905,191,191,192,0.9037599526789994,PASS,True
38,1.008160368688854e-05,1.0000004751630491,1.0000000285415296,-0.4466214070627078,1.6201233441804709e-06,-0.010429337972649803,0.001454355355357333,-3.4893924801239783e-06,0.005315066948608341,0.003486204001935623,-0.6255809955668296,-1302.2477837780766,0.013263954521621697,0.9130774651884402,0,0.12329946088717181,0.11781826629462805,0.11541820245091362,48,223,96,0.12329946088717181,PASS,True
39,1.0184026520108164e-05,1.0000012659596256,1.0000001667215836,-1.0992372544956317,1.0751534757511467e-06,-0.014552916420484511,-0.036056834258412926,4.7897318852942536e-05,0.04646099660608125,0.03759145508055275,-0.9594191806986634,-1265.5984830295397,0.013264441270147264,-0.38032229393636185,2,1.380322293936362,1.3507462426054795,1.3015165217374272,191,191,192,1.380322293936362,FAIL,True
40,9.921371532775704e-06,1.0000003060083054,1.0000004968486031,0.19084022117812566,6.276408749484011e-07,-0.0035997503113757577,-0.027932040265134385,3.0699738326435226e-05,0.029778941287396176,0.02180234826787476,-0.06661412482035237,-1180.9033886788222,0.013265566126869108,-0.07328461945321287,2,1.1027846219180346,1.0958191485946254,1.0512835370960993,191,192,192,1.1027846219180346,FAIL,True
41,1.0211081851541913e-05,0.9999998512056697,0.9999983379411956,-1.5132658442134024,1.924538932690513e-06,0.007492618259916301,0.0345848731324753,5.136346375198487e-05,0.04836882373938214,0.037917979036361564,0.798565900619976,-1244.1545980124147,0.013264726071745147,-0.26053202340660164,2,1.2789343757138387,1.261913954975628,1.2204571291413786,64,63,64,1.2789343757138387,FAIL,True
42,1.007551493984248e-05,0.9999994879336035,0.999999615623208,0.12768966178982166,2.2804451984190556e-06,-0.0142971804406338,-0.0008909834569466388,1.6006430526900872e-05,0.0048564323711437355,0.0026531285675460673,-1.0247695091366475,-1250.2312913245105,0.013264645365662096,0.9457324433404687,0,0.12890742496914553,0.1014774881458587,0.09406614066003029,64,127,93,0.12890742496914553,PASS,True
43,9.961977476729866e-06,0.9999999210028861,1.000000543653559,0.6226505282508283,1.6569218352250658e-06,0.026295413808205357,0.008316105405042233,5.215316604632872e-05,0.0046014679415710075,0.0037537293973496995,2.206276549247481,-1227.1383117072876,0.013264952069297637,0.6353660339823909,0,0.3646339660176091,0.31130324722306246,0.28458919367606483,64,64,64,0.3646339660176091,PASS,True
44,9.857621995083476e-06,0.9999998937324668,1.0000003798676327,0.4861350993969309,4.958883285360245e-07,-0.04699034131225457,-0.13664764800945992,2.1007817456414663e-05,0.17088502303370093,0.13788933637492515,-3.4444127080557423,-1290.520112141147,0.013264110279760625,-4.0768664609450855,14,5.091748640470493,5.1789533318431955,4.930422484184123,191,192,192,5.091748640470493,FAIL,True
45,9.942102279478997e-06,1.0000009544664332,1.0000013903615883,0.43589464403303435,1.5133598440174315e-06,0.022305509122740527,0.05074643573145264,3.2710279170881145e-05,0.07428855233668867,0.05907892545144978,1.8727505542363208,-1298.3286067292931,0.013264006573191876,-0.9207009416851161,4,1.9207009416851162,1.9015049331341929,1.8282200864598526,64,64,64,1.9207009416851162,FAIL,True
46,1.022783312269924e-05,1.0000015580333261,1.0000000171279675,-1.5409041450572016,1.168772846427107e-06,-0.011449350745449196,0.0009425933874241185,3.2614567410716404e-05,0.023425492518890565,0.015759819986618587,-0.7595097232819579,-1263.1474499253948,0.013264473822930677,0.885516567271369,0,0.11448343272863104,0.09265783157983717,0.0934586869889293,32,32,144,0.11448343272863104,PASS,True
