mismatch_seed,noise_seed,low_present,near_present,valid_die,hard_dynamic_pass_both,snr_budget_pass_both,preferred_nominal_pass_both,die_state,low_snr_db,low_sndr_db,low_enob_raw,low_sfdr_dbc,low_thd_db,low_state,low_hard_dynamic_pass,low_snr_budget_pass,near_snr_db,near_sndr_db,near_enob_raw,near_sfdr_dbc,near_thd_db,near_state,near_hard_dynamic_pass,near_snr_budget_pass,snr_worst_band,sndr_worst_band,enob_worst_band,snr_worst_band_name,sndr_worst_band_name,enob_worst_band_name
11,100011,True,True,True,False,False,False,VALID_FAIL,32.89301451116018,32.10063869823238,5.039973205686442,44.70828084519266,-39.87933553543323,VALID_FAIL,False,False,48.363168719135714,47.7385316609385,7.637629844009719,55.84321133964099,-56.46867313947127,VALID_PASS,True,True,32.89301451116018,32.10063869823238,5.039973205686442,LOW,LOW,LOW
12,100012,True,True,True,False,False,False,VALID_FAIL,45.731037772426184,44.68925797855931,7.13110597650487,53.79042986357021,-51.39982414895379,VALID_FAIL,False,False,48.02477334909655,47.60957714656161,7.6162088283324945,57.37299973451406,-58.010830852209196,VALID_PASS,True,False,45.731037772426184,44.68925797855931,7.13110597650487,LOW,LOW,LOW
13,100013,True,True,True,True,True,True,VALID_PASS,49.541285302270744,48.84989235708596,7.822241255329895,56.66744339353634,-57.171597258841544,VALID_PASS,True,True,49.4497370189135,48.699308330339576,7.797227297398601,57.612089648894695,-56.693869990541536,VALID_PASS,True,True,49.4497370189135,48.699308330339576,7.797227297398601,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
14,100014,True,True,True,True,True,False,VALID_PASS,49.49531115135528,48.47260027442114,7.7595681518972,59.424709249338946,-55.25423987636586,VALID_PASS,True,True,48.97506729109029,47.70713090361035,7.632413771363846,57.4137741251943,-53.6725544126375,VALID_PASS,True,True,48.97506729109029,47.70713090361035,7.632413771363846,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
15,100015,True,True,True,True,False,False,VALID_PASS,47.42947451355329,47.06550379853908,7.525831195770612,55.77802776651928,-58.0133969491143,VALID_PASS,True,False,48.89462452544908,48.39851169497544,7.747261078899576,56.8686719407888,-58.066245513673245,VALID_PASS,True,True,47.42947451355329,47.06550379853908,7.525831195770612,LOW,LOW,LOW
16,100016,True,True,True,True,True,False,VALID_PASS,49.010705155169305,47.6925252582365,7.6299875844246685,58.3258780821589,-53.51305355923749,VALID_PASS,True,True,48.9875603242035,48.15631743859478,7.707029474849633,56.639231479299966,-55.74587541597562,VALID_PASS,True,True,48.9875603242035,47.6925252582365,7.6299875844246685,NEAR_NYQUIST,LOW,LOW
17,100017,True,True,True,True,False,False,VALID_PASS,48.02622752007686,47.390917006944164,7.579886546004015,57.732964636953845,-56.05268327855601,VALID_PASS,True,False,48.24928264164701,47.664392737291514,7.62531440818796,56.53402194991344,-56.66065793994849,VALID_PASS,True,True,48.02622752007686,47.390917006944164,7.579886546004015,LOW,LOW,LOW
18,100018,True,True,True,True,True,True,VALID_PASS,48.55373910467339,47.88964028686705,7.662730944662301,53.49040199906958,-56.37297530019555,VALID_PASS,True,True,48.3579981249314,47.821778347572,7.651458197271097,56.956873605114026,-57.171544810937135,VALID_PASS,True,True,48.3579981249314,47.821778347572,7.651458197271097,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
19,100019,True,True,True,True,True,True,VALID_PASS,49.89809622891268,49.13829260084449,7.8701482725655305,58.675710379992,-57.083486618638304,VALID_PASS,True,True,48.637902111989355,47.82188629951901,7.651476129488208,56.72948101074432,-55.484364913139075,VALID_PASS,True,True,48.637902111989355,47.82188629951901,7.651476129488208,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
20,100020,True,True,True,True,True,True,VALID_PASS,50.55272988715865,48.566243003007955,7.775123422426572,53.64928760715855,-52.918678743139665,VALID_PASS,True,True,49.86744852554267,49.43314048421592,7.919126326281715,57.73861482675994,-59.64834939021442,VALID_PASS,True,True,49.86744852554267,48.566243003007955,7.775123422426572,NEAR_NYQUIST,LOW,LOW
21,100021,True,True,True,False,False,False,VALID_FAIL,32.38641332040275,31.871876194629273,5.001972789805527,44.67220705058483,-41.39028098125844,VALID_FAIL,False,False,46.18950434711968,45.646466821924804,7.290110767761596,55.77471298478336,-54.94470144876546,VALID_FAIL,False,False,32.38641332040275,31.871876194629273,5.001972789805527,LOW,LOW,LOW
22,100022,True,True,True,False,False,False,VALID_FAIL,32.76927524625465,32.098057610213885,5.039544453523901,44.65063040384806,-40.53855435024918,VALID_FAIL,False,False,46.95280212020328,45.39554316666872,7.248429097453277,54.011757287871774,-50.6051660332671,VALID_FAIL,False,False,32.76927524625465,32.098057610213885,5.039544453523901,LOW,LOW,LOW
23,100023,True,True,True,False,False,False,VALID_FAIL,48.167585544045075,47.59797126792914,7.614280941516469,56.22448881556004,-56.701700403980944,VALID_PASS,True,True,47.20700572526452,46.48840465776652,7.429967551124008,54.872600973806684,-54.65571657851905,VALID_FAIL,False,False,47.20700572526452,46.48840465776652,7.429967551124008,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
24,100024,True,True,True,True,True,True,VALID_PASS,49.77629669399441,48.291536722254385,7.729491149876145,57.06441030272775,-53.67406755621996,VALID_PASS,True,True,48.38842425484809,47.916256965245616,7.667152319808243,56.5001482444016,-57.78708603425875,VALID_PASS,True,True,48.38842425484809,47.916256965245616,7.667152319808243,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
25,100025,True,True,True,True,True,True,VALID_PASS,49.131811718063815,48.35865283654229,7.740640006070149,56.55580750527327,-56.23465430041741,VALID_PASS,True,True,48.33672006182674,48.000299191008764,7.681112822426706,57.565927105182524,-59.27643763608227,VALID_PASS,True,True,48.33672006182674,48.000299191008764,7.681112822426706,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
26,100026,True,True,True,False,False,False,VALID_FAIL,42.27117242141796,41.592761227329774,6.616737745403618,52.02838266620256,-49.990465173865616,VALID_FAIL,False,False,33.784157793249,33.105231105735704,5.20684902088633,44.59879641457226,-41.49988733808488,VALID_FAIL,False,False,33.784157793249,33.105231105735704,5.20684902088633,NEAR_NYQUIST,NEAR_NYQUIST,NEAR_NYQUIST
