target_id,mismatch_seed,band,reasons,reference,code_exact,differing_frame_count,differing_frames,metric_exact,electrical_exact,current_state,reference_state,state_comparable,state_exact,current_maxstep_ps,reference_maxstep_ps,current_solver_profile,reference_solver_profile,same_execution_profile,current_snr_db,reference_snr_db,delta_snr_db,current_sndr_db,reference_sndr_db,delta_sndr_db,current_enob,reference_enob,delta_enob,current_sfdr_dbc,reference_sfdr_dbc,delta_sfdr_dbc,current_thd_db,reference_thd_db,delta_thd_db,mismatch_checksum_match,noise_checksum_match
S026_NEAR_NYQUIST,26,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,V7_MC200,False,1,0,False,False,VALID_FAIL,VALID_FAIL,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,42.834266655578205,33.784157793249,9.050108862329203,42.233877688916586,33.105231105735704,9.128646583180881,6.7232354964977725,5.20684902088633,1.5163864756114425,51.5716904312001,44.59879641457226,6.972894016627841,-51.124130452421085,-41.49988733808488,-9.624243114336203,True,True
S036_LOW,36,LOW,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,EARLY_MC200,False,1,1,False,False,VALID_FAIL,FAIL,False,,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,45.01426244175934,32.82007153269149,12.19419090906785,44.52435459000296,32.10648190610218,12.417872683900775,7.1037133870436815,5.040943838222954,2.062769548820728,53.27636253635822,44.35256974136692,8.9237927949913,-54.24370519530527,-40.30175023458712,-13.94195496071815,,
S036_LOW,36,LOW,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,V7_MC200,False,1,1,False,False,VALID_FAIL,VALID_FAIL,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,45.01426244175934,32.82007153269149,12.19419090906785,44.52435459000296,32.10648190610218,12.417872683900775,7.1037133870436815,5.040943838222954,2.062769548820728,53.27636253635822,44.35256974136692,8.9237927949913,-54.24370519530527,-40.30175023458712,-13.94195496071815,True,True
S047_LOW,47,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,EARLY_MC200,False,1,53,False,False,VALID_PASS,PASS,False,,50.0,100.0,ROBUST_GEAR,DEFAULT,False,47.99165978683902,47.85857588727487,0.13308389956415567,47.8182688551281,47.68975676864591,0.12851208648219625,7.650875225104337,7.629527702432876,0.021347522671461228,55.76372873602848,56.46995005978029,-0.7062213237518051,-61.89225519393145,-61.87751972769319,-0.014735466238256834,,
S047_LOW,47,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,V7_MC200,True,0,,True,True,VALID_PASS,VALID_PASS,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,47.99165978683902,47.99165978683902,0.0,47.8182688551281,47.8182688551281,0.0,7.650875225104337,7.650875225104337,0.0,55.76372873602848,55.76372873602848,0.0,-61.89225519393145,-61.89225519393145,0.0,True,True
S052_NEAR_NYQUIST,52,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED,V7_MC200,False,1,0,False,False,VALID_PASS,VALID_FAIL,True,False,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,47.87007914723519,32.64316568064831,15.226913466586879,47.54651863594782,32.064239828538874,15.482278807408946,7.605733992682363,5.033926881817089,2.571807110865274,56.83423090074433,45.39379950059821,11.440431400146117,-58.985582500642444,-41.10210139462518,-17.883481106017264,True,True
S070_LOW,70,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,EARLY_MC200,False,1,0,False,False,VALID_PASS,FAIL,False,,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,48.788982612975204,32.46537718124125,16.323605431733952,47.661191009950095,31.695941879341866,15.965249130608228,7.624782559792376,4.972747820488682,2.6520347393036934,55.456217539215764,44.08947894732873,11.366738591887035,-54.06844533252561,-39.591103044258155,-14.477342288267458,,
S070_LOW,70,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,V7_MC200,True,0,,True,True,VALID_PASS,VALID_PASS,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,48.788982612975204,48.788982612975204,0.0,47.661191009950095,47.661191009950095,0.0,7.624782559792376,7.624782559792376,0.0,55.456217539215764,55.456217539215764,0.0,-54.06844533252561,-54.06844533252561,0.0,True,True
S073_LOW,73,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,EARLY_MC200,False,1,43,False,False,VALID_PASS,PASS,False,,50.0,100.0,ROBUST_GEAR,DEFAULT,False,48.52054668958481,48.51552440067021,0.005022288914602768,48.01351286795136,47.965447841742744,0.04806502620861863,7.683307785373981,7.675323561751287,0.007984223622694131,57.198550508917165,57.030001537526616,0.1685489713905497,-57.592037389210304,-57.21119521524514,-0.3808421739651635,,
S073_LOW,73,LOW,EARLY_MC200_VS_V7_LOW_CODE_MISMATCH,V7_MC200,True,0,,True,True,VALID_PASS,VALID_PASS,True,True,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,48.52054668958481,48.52054668958481,0.0,48.01351286795136,48.01351286795136,0.0,7.683307785373981,7.683307785373981,0.0,57.198550508917165,57.198550508917165,0.0,-57.592037389210304,-57.592037389210304,0.0,True,True
S074_NEAR_NYQUIST,74,NEAR_NYQUIST,EXTREME_TAIL_HISTORICAL_CODE_NOT_REPRODUCED;MC10_VS_V7_CODE_MISMATCH,V7_MC200,False,1,0,False,False,VALID_PASS,VALID_FAIL,True,False,50.0,50.0,ROBUST_GEAR,ROBUST_GEAR,True,48.94234596323276,26.57141814777209,22.37092781546067,48.64717692155502,25.9986016902694,22.648575231285623,7.788567594942696,4.026345795725814,3.7622217992168814,57.14150805953743,39.7696241548224,17.371883904715027,-60.47106065075611,-35.079550611934444,-25.391510038821664,True,True
