input_diff_v,output_code,point_role
-0.320155046117587,105,measured_transition
-0.30689503827433,106,measured_transition
-0.293635030431072,107,measured_transition
-0.280375022587814,108,measured_transition
-0.267115014744556,109,measured_transition
-0.253855006901298,110,measured_transition
-0.240439359409603,111,measured_transition
-0.228891387699157,112,measured_transition
-0.214853181613712,113,measured_transition
-0.201437534122017,114,measured_transition
-0.187866246981884,115,measured_transition
-0.174917518435501,116,measured_transition
-0.161501870943806,117,measured_transition
-0.14808622345211,118,measured_transition
-0.134514936311977,119,measured_transition
-0.122188766359344,120,measured_transition
-0.108773118867649,121,measured_transition
-0.0953574713759537,122,measured_transition
-0.0817861842358208,123,measured_transition
-0.0688374556894379,124,measured_transition
-0.0554218081977426,125,measured_transition
-0.0421618003544847,126,measured_transition
-0.0285905132143518,127,measured_transition
-0.017327880859375,128,measured_transition
-0.0058058490903361,129,measured_transition
0.00760979840135927,130,measured_transition
0.0211810855414921,131,measured_transition
0.034129814087875,132,measured_transition
0.0475454615795704,133,measured_transition
0.0608054694228283,134,measured_transition
0.0745323962113986,135,measured_transition
0.0868585661640315,136,measured_transition
0.100274213655727,137,measured_transition
0.113689861147422,138,measured_transition
0.127261148287555,139,measured_transition
0.140209876833938,140,measured_transition
0.153625524325633,141,measured_transition
0.166885532168891,142,measured_transition
0.180456819309024,143,measured_transition
0.192160430667907,144,measured_transition
0.206198636753352,145,measured_transition
0.219614284245048,146,measured_transition
0.233185571385181,147,measured_transition
0.246134299931563,148,measured_transition
0.259549947423259,149,measured_transition
0.272809955266517,150,measured_transition
0.28638124240665,151,measured_transition
0.29886305200772,152,measured_transition
0.312278699499415,153,measured_transition
0.325538707342673,154,measured_transition
0.339265634131244,155,measured_transition
0.352214362677626,156,measured_transition
0.365474370520884,157,measured_transition
0.37889001801258,158,measured_transition
0.392461305152712,159,measured_transition
0.40323107862097,160,measured_transition
0.418825681190791,161,measured_transition
0.432241328682486,162,measured_transition
0.445812615822619,163,measured_transition
0.458761344369002,164,measured_transition
0.472176991860697,165,measured_transition
0.485592639352393,166,measured_transition
0.499163926492526,167,measured_transition
0.511490096445158,168,measured_transition
0.524905743936854,169,measured_transition
0.538321391428549,170,measured_transition
0.551892678568682,171,measured_transition
0.564841407115065,172,measured_transition
0.57825705460676,173,measured_transition
0.591517062450018,174,measured_transition
0.605088349590151,175,measured_transition
0.616791960949034,176,measured_transition
0.630830167034479,177,measured_transition
0.644245814526175,178,measured_transition
0.657817101666307,179,measured_transition
0.67076583021269,180,measured_transition
0.684181477704386,181,measured_transition
0.697597125196081,182,measured_transition
0.711168412336214,183,measured_transition
0.723494582288847,184,measured_transition
0.736910229780542,185,measured_transition
0.750325877272238,186,measured_transition
0.76389716441237,187,measured_transition
0.776845892958753,188,measured_transition
0.790261540450449,189,measured_transition
0.803521548293706,190,measured_transition
0.817248475082277,191,measured_transition
0.822415221206785,192,measured_transition
0.843768490768793,193,measured_transition
0.857028498612051,194,measured_transition
0.870599785752184,195,measured_transition
0.883548514298567,196,measured_transition
0.896964161790262,197,measured_transition
0.910379809281957,198,measured_transition
0.92395109642209,199,measured_transition
0.936277266374723,200,measured_transition
0.949692913866419,201,measured_transition
0.963108561358114,202,measured_transition
0.976679848498247,203,measured_transition
0.98962857704463,204,measured_transition
1.00304422453633,205,measured_transition
1.01645987202802,206,measured_transition
1.03003115916815,207,measured_transition
1.04173477052704,208,measured_transition
1.05577297661248,209,measured_transition
1.06903298445574,210,measured_transition
1.08260427159587,211,measured_transition
1.09555300014226,212,measured_transition
1.10896864763395,213,measured_transition
1.12238429512565,214,measured_transition
1.13595558226578,215,measured_transition
1.14843739186685,216,measured_transition
1.16185303935854,217,measured_transition
1.1751130472018,218,measured_transition
1.18868433434194,219,measured_transition
1.20163306288832,220,measured_transition
1.21504871038001,221,measured_transition
1.22846435787171,222,measured_transition
1.24203564501184,223,measured_transition
1.2528054184801,224,measured_transition
1.26840002104992,225,measured_transition
1.28181566854162,226,measured_transition
1.29538695568175,227,measured_transition
1.30833568422813,228,measured_transition
1.32175133171983,229,measured_transition
1.33501133956308,230,measured_transition
1.35371873510165,231,measured_transition
1.36106443630429,232,measured_transition
1.37448008379598,233,measured_transition
1.38789573128768,234,measured_transition
1.40146701842781,235,measured_transition
1.41441574697419,236,measured_transition
1.42783139446589,237,measured_transition
1.44109140230915,238,measured_transition
1.45979879784772,239,measured_transition
1.46636630080816,240,measured_transition
1.48056014654205,241,measured_transition
1.4938201543853,242,measured_transition
1.50739144152544,243,measured_transition
1.52034017007182,244,measured_transition
1.53375581756351,245,measured_transition
1.54717146505521,246,measured_transition
1.56074275219534,247,measured_transition
1.57322456179641,248,measured_transition
1.58648456963967,249,measured_transition
1.59990021713137,250,measured_transition
1.6134715042715,251,measured_transition
1.62642023281788,252,measured_transition
