target_transition,lower_v,transition_v,upper_v,inl_ep_lsb
35,-1.2480294054887429,-1.247951585664524,-1.2478737658403052,0.06458025147929664
36,-1.2349299393300937,-1.234852119505875,-1.2347742996816562,0.05283838757395779
37,-1.221674833523007,-1.2215970136987884,-1.2215191938745695,0.05283838757395779
38,-1.2082640880674829,-1.208186268243264,-1.2081084484190452,0.06458025147929664
39,-1.194697702963521,-1.1946198831393025,-1.1945420633150836,0.08806397928994082
40,-1.1820651557501844,-1.1819873359259656,-1.181909516101747,0.04109652366865245
41,-1.1689656895915355,-1.1688878697673166,-1.168810049943098,0.029354659763330355
42,-1.1555549441360113,-1.1554771243117927,-1.1553993044875739,0.0410965236686357
43,-1.1419885590320498,-1.1419107392078311,-1.1418329193836123,0.06458025147927988
44,-1.1290447325218382,-1.1289669126976194,-1.1288890928734008,0.04109652366865245
45,-1.1156339870663141,-1.1155561672420955,-1.1154783474178767,0.05283838757395779
46,-1.10222324161079,-1.1021454217865712,-1.1020676019623523,0.06458025147929664
47,-1.0886568565068282,-1.0885790366826096,-1.0885012168583907,0.08806397928994082
48,-1.0766468678872416,-1.076569048063023,-1.0764912282388042,-0.005870931952669422
49,-1.0629248431348426,-1.0628470233106238,-1.062769203486405,0.029354659763313605
50,-1.049669737327756,-1.049591917503537,-1.0495140976793182,0.029354659763313605
51,-1.0361033522237943,-1.0360255323995755,-1.035947712575357,0.05283838757397454
52,-1.0230038860651451,-1.0229260662409265,-1.0228482464167077,0.0410965236686357
53,-1.0097487802580587,-1.0096709604338399,-1.0095931406096212,0.04109652366865245
54,-0.9963380348025344,-0.9962602149783156,-0.9961823951540969,0.05283838757397454
55,-0.982771649698573,-0.9826938298743543,-0.9826160100501355,0.07632211538461035
56,-0.9701391024852363,-0.9700612826610175,-0.9699834628367987,0.029354659763313605
57,-0.9568839966781496,-0.9568061768539309,-0.956728357029712,0.029354659763313605
58,-0.943628890871063,-0.9435510710468443,-0.9434732512226256,0.029354659763313605
59,-0.9300625057671015,-0.9299846859428827,-0.929906866118664,0.05283838757395779
60,-0.9169630396084523,-0.9168852197842335,-0.9168073999600148,0.041096523668644074
61,-0.9037079338013656,-0.9036301139771469,-0.9035522941529281,0.041096523668644074
62,-0.8902971883458417,-0.890219368521623,-0.8901415486974043,0.05283838757395779
63,-0.87673080324188,-0.8766529834176613,-0.8765751635934425,0.07632211538461035
64,-0.8675223282941684,-0.8674445084699497,-0.867366688645731,-0.2289663461538478
