sample_index,valid_sample_index,t_sample_s,t_eoc_s,vinp_v,vinn_v,vdiff_v,code_decimal,code_hex,ideal_dac_output_vdiff_v,reconstructed_vdiff_v,quantization_error_v,quantization_error_lsb,clks_falling_sample,eoc_int
55,39,2.75e-05,2.7875e-05,1.192568386414977,2.107431613585023,-0.9148632271700456,59,0x3B,-0.909765625,-0.909765625,0.005097602170045623,0.3838194575093175,1,1
56,40,2.8e-05,2.8375e-05,1.2513820328078678,2.048617967192132,-0.7972359343842643,67,0x43,-0.803515625,-0.803515625,-0.006279690615735634,-0.4728237640083301,1,1
57,41,2.85e-05,2.8875e-05,1.3138349667207936,1.9861650332792062,-0.6723300665584124,77,0x4D,-0.670703125,-0.670703125,0.0016269415584124758,0.12249912910399818,1,1
58,42,2.9e-05,2.9375e-05,1.3793570076759905,1.9206429923240094,-0.5412859846480189,87,0x57,-0.537890625,-0.537890625,0.0033953596480189585,0.25565060879201573,1,1
59,43,2.95e-05,2.9874999999999998e-05,1.4473499549761468,1.852650045023853,-0.40530009004770606,97,0x61,-0.40507812499999996,-0.40507812499999996,0.00022196504770610748,0.01671266241551868,1,1
60,44,3e-05,3.0375e-05,1.517193049134923,1.7828069508650768,-0.26561390173015365,108,0x6C,-0.25898437500000004,-0.25898437500000004,0.006629526730153601,0.49916436556450644,1,1
61,45,3.05e-05,3.0875e-05,1.588248639263867,1.7117513607361328,-0.12350272147226563,118,0x76,-0.12617187500000004,-0.12617187500000004,-0.002669153527734419,-0.20097155973529746,1,1
62,46,3.1e-05,3.1375000000000004e-05,1.6598680046738288,1.640131995326171,0.019736009347657894,129,0x81,0.01992187500000009,0.01992187500000009,0.0001858656523421945,0.013994590294000527,1,1
63,47,3.15e-05,3.1875e-05,1.7313972775410225,1.5686027224589774,0.16279455508204527,140,0x8C,0.166015625,0.166015625,0.003221069917954733,0.2425276173518858,1,1
64,48,3.2e-05,3.2375e-05,1.8021834125652176,1.4978165874347822,0.30436682513043556,150,0x96,0.298828125,0.298828125,-0.005538700130435559,-0.417031539232795,1,1
65,49,3.25e-05,3.2875e-05,1.8715801491184751,1.4284198508815247,0.4431602982369507,161,0xA1,0.44492187500000013,0.44492187500000013,0.0017615767630494439,0.13263636804136988,1,1
66,50,3.3e-05,3.3375000000000005e-05,1.9389539114514414,1.3610460885485585,0.5779078229028829,171,0xAB,0.5777343750000001,0.5777343750000001,-0.0001734479028827618,-0.0130596068052903,1,1
67,51,3.35e-05,3.3875000000000003e-05,2.0036895930897067,1.2963104069102929,0.7073791861794141,181,0xB5,0.7105468750000001,0.7105468750000001,0.0031676888205860454,0.23850833472647873,1,1
68,52,3.4e-05,3.4375e-05,2.0651961726100603,1.2348038273899395,0.8303923452201208,190,0xBE,0.8300781249999998,0.8300781249999998,-0.0003142202201210642,-0.02365893422088013,1,1
69,53,3.45e-05,3.4875e-05,2.122912109525943,1.177087890474057,0.9458242190518862,199,0xC7,0.9496093749999999,0.9496093749999999,0.003785155948113683,0.28499997726973614,1,1
70,54,3.5e-05,3.5375e-05,2.1763104710189354,1.1236895289810644,1.0526209420378707,207,0xCF,1.055859375,1.055859375,0.003238432962129334,0.24383495244267928,1,1
71,55,3.55e-05,3.5875000000000005e-05,2.224903742710443,1.0750962572895566,1.1498074854208866,214,0xD6,1.1488281249999999,1.1488281249999999,-0.0009793604208867546,-0.07374007874912035,1,1
72,56,3.6e-05,3.6375e-05,2.268248279552378,1.0317517204476219,1.2364965591047559,221,0xDD,1.2417968750000001,1.2417968750000001,0.0053003158952442675,0.3990826085830978,1,1
73,57,3.65e-05,3.6875e-05,2.3059483562012426,0.994051643798757,1.3118967124024858,226,0xE2,1.3082031250000001,1.3082031250000001,-0.0036935874024857096,-0.27810540442245346,1,1
74,58,3.7e-05,3.7375e-05,2.337659779896689,0.9623402201033108,1.3753195597933783,231,0xE7,1.3746093750000001,1.3746093750000001,-0.0007101847933781436,-0.0534727373837661,1,1
75,59,3.75e-05,3.7875e-05,2.363093032859801,0.9369069671401985,1.4261860657196028,235,0xEB,1.4277343749999998,1.4277343749999998,0.0015483092803969534,0.1165785811122412,1,1
76,60,3.8e-05,3.8375000000000004e-05,2.3820159155217677,0.9179840844782321,1.4640318310435356,238,0xEE,1.467578125,1.467578125,0.0035462939564643303,0.267015074369079,1,1
77,61,3.85e-05,3.8875e-05,2.394255666450885,0.9057443335491149,1.48851133290177,240,0xF0,1.4941406249999998,1.4941406249999998,0.00562929209822971,0.4238525815137664,1,1
78,62,3.9e-05,3.9375e-05,2.3997005396234643,0.9002994603765357,1.4994010792469283,240,0xF0,1.4941406249999998,1.4941406249999998,-0.005260454246928559,-0.3960812609452091,1,1
79,63,3.95e-05,3.9875e-05,2.39830082463853,0.90169917536147,1.4966016492770597,240,0xF0,1.4941406249999998,1.4941406249999998,-0.0024610242770599644,-0.18530065144922087,1,1
80,64,4e-05,4.0375000000000006e-05,2.3900693005619935,0.9099306994380063,1.4801386011239872,239,0xEF,1.4808593749999999,1.4808593749999999,0.0007207738760126592,0.05427003301742375,1,1
81,65,4.05e-05,4.0875000000000004e-05,2.375081119256812,0.9249188807431876,1.4501622385136246,237,0xED,1.454296875,1.454296875,0.004134636486375465,0.3113138060329762,1,1
82,66,4.1e-05,4.1375e-05,2.3534731192642995,0.9465268807357003,1.4069462385285991,233,0xE9,1.401171875,1.401171875,-0.005774363528599169,-0.43477560685923156,1,1
83,67,4.15e-05,4.1875e-05,2.3254425765006905,0.9745574234993092,1.3508851530013815,229,0xE5,1.3480468749999999,1.3480468749999999,-0.002838278001381589,-0.21370563775108434,1,1
84,68,4.2e-05,4.2375e-05,2.2912454031748064,1.0087545968251936,1.2824908063496125,224,0xE0,1.2816406249999999,1.2816406249999999,-0.0008501813496126776,-0.0640136545590722,1,1
85,69,4.25e-05,4.2875000000000005e-05,2.251193811370265,1.048806188629735,1.2023876227405297,218,0xDA,1.201953125,1.201953125,-0.0004344977405297268,-0.032715123992826486,1,1
86,70,4.3e-05,4.3375000000000004e-05,2.205653462623195,1.0943465373768047,1.1113069252463907,211,0xD3,1.1089843750000001,1.1089843750000001,-0.002322550246390609,-0.17487437149293997,1,1
87,71,4.35e-05,4.3875e-05,2.155040129519115,1.1449598704808845,1.0100802590382307,204,0xCC,1.0160156249999999,1.0160156249999999,0.0059353659617691346,0.44689814300379366,1,1
88,72,4.4e-05,4.4375e-05,2.0998158997878145,1.2001841002121856,0.8996317995756287,195,0xC3,0.8964843749999998,0.8964843749999998,-0.0031474245756288877,-0.23698255628264567,1,1
89,73,4.45e-05,4.4875e-05,2.0404849575519517,1.2595150424480481,0.7809699151039038,186,0xBA,0.7769531250000001,0.7769531250000001,-0.004016790103903656,-0.3024406666468635,1,1
90,74,4.5e-05,4.5375000000000005e-05,1.9775889802455657,1.322411019754434,0.6551779604911318,177,0xB1,0.657421875,0.657421875,0.0022439145088682944,0.16895356302067158,1,1
91,75,4.55e-05,4.5875000000000004e-05,1.9117021932275489,1.388297806772451,0.523404386455098,167,0xA7,0.524609375,0.524609375,0.0012049885449020303,0.0907285492632117,1,1
92,76,4.6e-05,4.6375e-05,1.8434261272402783,1.4565738727597215,0.3868522544805567,157,0x9D,0.39179687500000004,0.39179687500000004,0.004944620519443332,0.3723008391110274,1,1
93,77,4.65e-05,4.6875e-05,1.7733841265765733,1.5266158734234265,0.24676825315314682,146,0x92,0.2457031249999999,0.2457031249999999,-0.0010651281531469103,-0.08019788447223795,1,1
94,78,4.7e-05,4.7375e-05,1.702215658094112,1.597784341905888,0.10443131618822407,135,0x87,0.099609375,0.099609375,-0.0048219411882240715,-0.36306380711334185,1,1
95,79,4.75e-05,4.7875000000000005e-05,1.6305704730346449,1.669429526965355,-0.038859053930710305,125,0x7D,-0.033203125,-0.033203125,0.005655928930710305,0.4258581783123053,1,1
96,80,4.8e-05,4.8375000000000004e-05,1.5591026749492352,1.7408973250507647,-0.18179465010152948,114,0x72,-0.1792968749999999,-0.1792968749999999,0.00249777510152957,0.18806777235046176,1,1
97,81,4.85e-05,4.8875e-05,1.4884647478879343,1.8115352521120656,-0.3230705042241314,103,0x67,-0.32539062500000004,-0.32539062500000004,-0.002320120775868628,-0.1746914466536379,1,1
98,82,4.9e-05,4.9375e-05,1.4193015993751221,1.8806984006248777,-0.4613968012497556,93,0x5D,-0.45820312500000004,-0.45820312500000004,0.0031936762497555282,0.24046503527571036,1,1
99,83,4.95e-05,4.9875e-05,1.3522446725567328,1.947755327443267,-0.5955106548865345,83,0x53,-0.591015625,-0.591015625,0.004495029886534496,0.33844930910377385,1,1
100,84,5e-05,5.0375000000000005e-05,1.2879061812740538,2.0120938187259463,-0.7241876374518924,73,0x49,-0.7238281249999999,-0.7238281249999999,0.00035951245189247416,0.027069172848374526,1,1
101,85,5.05e-05,5.0875e-05,1.2268735206965324,2.0731264793034674,-0.846252958606935,64,0x40,-0.843359375,-0.843359375,0.002893583606934924,0.217869824522159,1,1
102,86,5.1e-05,5.1375e-05,1.169703904543156,2.1302960954568437,-0.9605921909136875,55,0x37,-0.962890625,-0.962890625,-0.002298434086312473,-0.1730585664988215,1,1
103,87,5.15e-05,5.1875e-05,1.1169192778533261,2.1830807221466735,-1.0661614442933476,47,0x2F,-1.069140625,-1.069140625,-0.0029791807066523734,-0.22431478261853166,1,1
104,88,5.2e-05,5.2375e-05,1.0690015517524127,2.230998448247587,-1.1619968964951743,40,0x28,-1.162109375,-1.162109375,-0.00011247850482565269,-0.008468969775107967,1,1
105,89,5.25e-05,5.2875000000000005e-05,1.026388203717448,2.2736117962825517,-1.2472235925651038,34,0x22,-1.241796875,-1.241796875,0.0054267175651039334,0.4085999107842962,1,1
106,90,5.3e-05,5.3375e-05,0.9894682835115002,2.3105317164884998,-1.3210634329769995,28,0x1C,-1.321484375,-1.321484375,-0.00042094202300058114,-0.0316944582023967,1,1
107,91,5.35e-05,5.3875e-05,0.9585788612515856,2.341421138748414,-1.3828422774968285,23,0x17,-1.387890625,-1.387890625,-0.005048347503171513,-0.3801108708270316,1,1
108,92,5.4e-05,5.4375e-05,0.9340019500384269,2.365998049961573,-1.431996099923146,20,0x14,-1.427734375,-1.427734375,0.004261724923146026,0.3208828177427596,1,1
109,93,5.45e-05,5.4875000000000006e-05,0.9159619312437146,2.3840380687562854,-1.4680761375125706,17,0x11,-1.467578125,-1.467578125,0.0004980125125706447,0.03749741271120149,1,1
110,94,5.5e-05,5.5375000000000004e-05,0.904623505961389,2.3953764940386106,-1.490752988077222,15,0x0F,-1.494140625,-1.494140625,-0.0033876369227781034,-0.25506913300917483,1,1
111,95,5.55e-05,5.5875e-05,0.9000901913257062,2.399909808674294,-1.4998196173485874,15,0x0F,-1.494140625,-1.494140625,0.005678992348587375,0.42759471801128474,1,1
112,96,5.6e-05,5.6375e-05,0.9024033754243491,2.397596624575651,-1.4951932491513016,15,0x0F,-1.494140625,-1.494140625,0.0010526241513015844,0.07925640668623694,1,1
113,97,5.65e-05,5.6875e-05,0.9115419394350001,2.3884580605649997,-1.4769161211299997,16,0x10,-1.4808593749999999,-1.4808593749999999,-0.003943253870000163,-0.29690382080001226,1,1
114,98,5.7e-05,5.7375000000000005e-05,0.9274224504351813,2.3725775495648183,-1.4451550991296371,19,0x13,-1.441015625,-1.441015625,0.004139474129637222,0.3116780521138614,1,1
115,99,5.75e-05,5.7875000000000004e-05,0.9498999231250529,2.3501000768749467,-1.400200153749894,22,0x16,-1.401171875,-1.401171875,-0.0009717212501059169,-0.07316489412562198,1,1
116,100,5.8e-05,5.8375e-05,0.9787691435088232,2.3212308564911766,-1.3424617129823535,26,0x1A,-1.348046875,-1.348046875,-0.005585162017646583,-0.4205298460345663,1,1
117,101,5.85e-05,5.8875e-05,1.0137665424498672,2.2862334575501326,-1.2724669151002652,32,0x20,-1.268359375,-1.268359375,0.004107540100265261,0.3092736075493844,1,1
118,102,5.9e-05,5.9375e-05,1.0545726019944488,2.245427398005551,-1.1908547960111022,38,0x26,-1.1886718749999998,-1.1886718749999998,0.002182921011102401,0.1643611114241808,1,1
119,103,5.95e-05,5.9875000000000005e-05,1.1008147724948727,2.199185227505127,-1.0983704550102547,45,0x2D,-1.095703125,-1.095703125,0.0026673300102546538,0.20083425959564452,1,1
120,104,6e-05,6.0375000000000004e-05,1.152070873899429,2.147929126100571,-0.995858252201142,53,0x35,-0.9894531249999999,-0.9894531249999999,0.006405127201142058,0.4822684010271667,1,1
121,105,6.05e-05,6.0875e-05,1.2078729501561574,2.0921270498438425,-0.8842540996876849,61,0x3D,-0.883203125,-0.883203125,0.0010509746876848913,0.07913221177862712,1,1
122,106,6.1e-05,6.1375e-05,1.267711541540644,2.032288458459356,-0.764576916918712,70,0x46,-0.763671875,-0.763671875,0.0009050419187119907,0.06814433270302048,1,1
123,107,6.15e-05,6.1875e-05,1.331040335902494,1.9689596640975058,-0.6379193281950116,79,0x4F,-0.6441406249999999,-0.6441406249999999,-0.0062212968049882855,-0.46842705355205916,1,1
124,108,6.2e-05,6.2375e-05,1.3972811563657297,1.9027188436342701,-0.5054376872685404,89,0x59,-0.5113281249999999,-0.5113281249999999,-0.005890437731459475,-0.443515311545184,1,1
125,109,6.25e-05,6.2875e-05,1.4658292399465676,1.8341707600534323,-0.36834152010686483,100,0x64,-0.365234375,-0.365234375,0.003107145106864828,0.23394974922276354,1,1
126,110,6.3e-05,6.3375e-05,1.5360587588960581,1.7639412411039417,-0.2278824822078836,110,0x6E,-0.232421875,-0.232421875,-0.0045393927921164035,-0.34178957493582335,1,1
127,111,6.35e-05,6.3875e-05,1.6073285343590429,1.692671465640957,-0.08534293128191407,121,0x79,-0.08632812500000009,-0.08632812500000009,-0.0009851937180860165,-0.07417929171471184,1,1
128,112,6.4e-05,6.437499999999999e-05,1.678987890185057,1.6210121098149428,0.05797578037011428,132,0x84,0.059765625000000044,0.059765625000000044,0.0017898446298857673,0.13476477213257543,1,1
129,113,6.45e-05,6.487499999999999e-05,1.7503825934473,1.5496174065526997,0.20076518689460035,143,0x8F,0.20585937499999996,0.20585937499999996,0.005094188105399605,0.3835623985242056,1,1
