sample_index,t_sample_s,t_eoc_s,vdiff_sampled_v,code_decimal,code_hex,ideal_dac_output_vdiff_v,quantization_error_v,quantization_error_lsb
42,2.1e-05,2.1374999999999998e-05,-1.4201441460858968,21,0x15,-1.414453125,0.005691021085896697,0.4285004111733984
43,2.15e-05,2.1875e-05,-1.459749485752587,18,0x12,-1.454296875,0.005452610752586962,0.4105495154889007
44,2.2e-05,2.2375e-05,-1.4860276587506542,16,0x10,-1.4808593749999999,0.005168283750654368,0.38914136475515243
45,2.25e-05,2.2875e-05,-1.498738751591715,15,0x0F,-1.494140625,0.0045981265917149905,0.3462118845526581
46,2.3e-05,2.3375e-05,-1.4977667150121896,15,0x0F,-1.494140625,0.003626090012189609,0.27302324797662936
47,2.35e-05,2.3874999999999998e-05,-1.4831204234755593,16,0x10,-1.4808593749999999,0.002261048475559413,0.17024364992447344
48,2.4e-05,2.4375e-05,-1.4549335941506198,18,0x12,-1.454296875,0.0006367191506198022,0.047941206634902755
49,2.45e-05,2.4874999999999998e-05,-1.4134635661054373,21,0x15,-1.414453125,-0.0009895588945627587,-0.07450796382590183
50,2.5e-05,2.5375e-05,-1.3590889508626773,25,0x19,-1.361328125,-0.0022391741373226637,-0.1685966409278241
51,2.55e-05,2.5875e-05,-1.2923061757661785,30,0x1E,-1.294921875,-0.0026156992338215446,-0.19694676584068102
52,2.6e-05,2.6374999999999997e-05,-1.2137249517170177,36,0x24,-1.215234375,-0.001509423282982425,-0.11365069424808848
53,2.65e-05,2.6875e-05,-1.1240627066575564,43,0x2B,-1.1222656249999998,0.001797081657556543,0.13530967774543382
54,2.7e-05,2.7374999999999998e-05,-1.0241380356244452,50,0x32,-1.029296875,-0.005158839375554836,-0.3884302588653053
55,2.75e-05,2.7875e-05,-0.9148632271700456,59,0x3B,-0.909765625,0.005097602170045623,0.3838194575093175
56,2.8e-05,2.8375e-05,-0.7972359343842643,67,0x43,-0.803515625,-0.006279690615735634,-0.4728237640083301
57,2.85e-05,2.8875e-05,-0.6723300665584124,77,0x4D,-0.670703125,0.0016269415584124758,0.12249912910399818
58,2.9e-05,2.9375e-05,-0.5412859846480189,87,0x57,-0.537890625,0.0033953596480189585,0.25565060879201573
59,2.95e-05,2.9874999999999998e-05,-0.40530009004770606,97,0x61,-0.40507812499999996,0.00022196504770610748,0.01671266241551868
60,3e-05,3.0375e-05,-0.26561390173015365,108,0x6C,-0.25898437500000004,0.006629526730153601,0.49916436556450644
61,3.05e-05,3.0875e-05,-0.12350272147226563,118,0x76,-0.12617187500000004,-0.002669153527734419,-0.20097155973529746
62,3.1e-05,3.1375000000000004e-05,0.019736009347657894,129,0x81,0.01992187500000009,0.0001858656523421945,0.013994590294000527
63,3.15e-05,3.1875e-05,0.16279455508204527,140,0x8C,0.166015625,0.003221069917954733,0.2425276173518858
64,3.2e-05,3.2375e-05,0.30436682513043556,150,0x96,0.298828125,-0.005538700130435559,-0.417031539232795
65,3.25e-05,3.2875e-05,0.4431602982369507,161,0xA1,0.44492187500000013,0.0017615767630494439,0.13263636804136988
66,3.3e-05,3.3375000000000005e-05,0.5779078229028829,171,0xAB,0.5777343750000001,-0.0001734479028827618,-0.0130596068052903
67,3.35e-05,3.3875000000000003e-05,0.7073791861794141,181,0xB5,0.7105468750000001,0.0031676888205860454,0.23850833472647873
68,3.4e-05,3.4375e-05,0.8303923452201208,190,0xBE,0.8300781249999998,-0.0003142202201210642,-0.02365893422088013
69,3.45e-05,3.4875e-05,0.9458242190518862,199,0xC7,0.9496093749999999,0.003785155948113683,0.28499997726973614
70,3.5e-05,3.5375e-05,1.0526209420378707,207,0xCF,1.055859375,0.003238432962129334,0.24383495244267928
71,3.55e-05,3.5875000000000005e-05,1.1498074854208866,214,0xD6,1.1488281249999999,-0.0009793604208867546,-0.07374007874912035
72,3.6e-05,3.6375e-05,1.2364965591047559,221,0xDD,1.2417968750000001,0.0053003158952442675,0.3990826085830978
73,3.65e-05,3.6875e-05,1.3118967124024858,226,0xE2,1.3082031250000001,-0.0036935874024857096,-0.27810540442245346
74,3.7e-05,3.7375e-05,1.3753195597933783,231,0xE7,1.3746093750000001,-0.0007101847933781436,-0.0534727373837661
75,3.75e-05,3.7875e-05,1.4261860657196028,235,0xEB,1.4277343749999998,0.0015483092803969534,0.1165785811122412
76,3.8e-05,3.8375000000000004e-05,1.4640318310435356,238,0xEE,1.467578125,0.0035462939564643303,0.267015074369079
77,3.85e-05,3.8875e-05,1.48851133290177,240,0xF0,1.4941406249999998,0.00562929209822971,0.4238525815137664
78,3.9e-05,3.9375e-05,1.4994010792469283,240,0xF0,1.4941406249999998,-0.005260454246928559,-0.3960812609452091
79,3.95e-05,3.9875e-05,1.4966016492770597,240,0xF0,1.4941406249999998,-0.0024610242770599644,-0.18530065144922087
80,4e-05,4.0375000000000006e-05,1.4801386011239872,239,0xEF,1.4808593749999999,0.0007207738760126592,0.05427003301742375
81,4.05e-05,4.0875000000000004e-05,1.4501622385136246,237,0xED,1.454296875,0.004134636486375465,0.3113138060329762
82,4.1e-05,4.1375e-05,1.4069462385285991,233,0xE9,1.401171875,-0.005774363528599169,-0.43477560685923156
83,4.15e-05,4.1875e-05,1.3508851530013815,229,0xE5,1.3480468749999999,-0.002838278001381589,-0.21370563775108434
84,4.2e-05,4.2375e-05,1.2824908063496125,224,0xE0,1.2816406249999999,-0.0008501813496126776,-0.0640136545590722
85,4.25e-05,4.2875000000000005e-05,1.2023876227405297,218,0xDA,1.201953125,-0.0004344977405297268,-0.032715123992826486
86,4.3e-05,4.3375000000000004e-05,1.1113069252463907,211,0xD3,1.1089843750000001,-0.002322550246390609,-0.17487437149293997
87,4.35e-05,4.3875e-05,1.0100802590382307,204,0xCC,1.0160156249999999,0.0059353659617691346,0.44689814300379366
88,4.4e-05,4.4375e-05,0.8996317995756287,195,0xC3,0.8964843749999998,-0.0031474245756288877,-0.23698255628264567
89,4.45e-05,4.4875e-05,0.7809699151039038,186,0xBA,0.7769531250000001,-0.004016790103903656,-0.3024406666468635
90,4.5e-05,4.5375000000000005e-05,0.6551779604911318,177,0xB1,0.657421875,0.0022439145088682944,0.16895356302067158
91,4.55e-05,4.5875000000000004e-05,0.523404386455098,167,0xA7,0.524609375,0.0012049885449020303,0.0907285492632117
92,4.6e-05,4.6375e-05,0.3868522544805567,157,0x9D,0.39179687500000004,0.004944620519443332,0.3723008391110274
93,4.65e-05,4.6875e-05,0.24676825315314682,146,0x92,0.2457031249999999,-0.0010651281531469103,-0.08019788447223795
94,4.7e-05,4.7375e-05,0.10443131618822407,135,0x87,0.099609375,-0.0048219411882240715,-0.36306380711334185
95,4.75e-05,4.7875000000000005e-05,-0.038859053930710305,125,0x7D,-0.033203125,0.005655928930710305,0.4258581783123053
96,4.8e-05,4.8375000000000004e-05,-0.18179465010152948,114,0x72,-0.1792968749999999,0.00249777510152957,0.18806777235046176
97,4.85e-05,4.8875e-05,-0.3230705042241314,103,0x67,-0.32539062500000004,-0.002320120775868628,-0.1746914466536379
98,4.9e-05,4.9375e-05,-0.4613968012497556,93,0x5D,-0.45820312500000004,0.0031936762497555282,0.24046503527571036
99,4.95e-05,4.9875e-05,-0.5955106548865345,83,0x53,-0.591015625,0.004495029886534496,0.33844930910377385
100,5e-05,5.0375000000000005e-05,-0.7241876374518924,73,0x49,-0.7238281249999999,0.00035951245189247416,0.027069172848374526
101,5.05e-05,5.0875e-05,-0.846252958606935,64,0x40,-0.843359375,0.002893583606934924,0.217869824522159
102,5.1e-05,5.1375e-05,-0.9605921909136875,55,0x37,-0.962890625,-0.002298434086312473,-0.1730585664988215
103,5.15e-05,5.1875e-05,-1.0661614442933476,47,0x2F,-1.069140625,-0.0029791807066523734,-0.22431478261853166
104,5.2e-05,5.2375e-05,-1.1619968964951743,40,0x28,-1.162109375,-0.00011247850482565269,-0.008468969775107967
105,5.25e-05,5.2875000000000005e-05,-1.2472235925651038,34,0x22,-1.241796875,0.0054267175651039334,0.4085999107842962
106,5.3e-05,5.3375e-05,-1.3210634329769995,28,0x1C,-1.321484375,-0.00042094202300058114,-0.0316944582023967
107,5.35e-05,5.3875e-05,-1.3828422774968285,23,0x17,-1.387890625,-0.005048347503171513,-0.3801108708270316
108,5.4e-05,5.4375e-05,-1.431996099923146,20,0x14,-1.427734375,0.004261724923146026,0.3208828177427596
109,5.45e-05,5.4875000000000006e-05,-1.4680761375125706,17,0x11,-1.467578125,0.0004980125125706447,0.03749741271120149
110,5.5e-05,5.5375000000000004e-05,-1.490752988077222,15,0x0F,-1.494140625,-0.0033876369227781034,-0.25506913300917483
111,5.55e-05,5.5875e-05,-1.4998196173485874,15,0x0F,-1.494140625,0.005678992348587375,0.42759471801128474
