transition_code,transition_v,ideal_v,error_lsb
120,-0.10624999999999996,-0.10624999999999996,0.0
121,-0.09296875000000004,-0.09296875000000004,0.0
122,-0.07968749999999991,-0.07968749999999991,0.0
123,-0.06640625,-0.06640625,0.0
124,-0.05312500000000009,-0.05312500000000009,0.0
125,-0.039843749999999956,-0.039843749999999956,0.0
126,-0.026562500000000044,-0.026562500000000044,0.0
127,-0.013281249999999911,-0.013281249999999911,0.0
128,0.0,0.0,0.0
129,0.013281249999999911,0.013281249999999911,0.0
130,0.026562500000000044,0.026562500000000044,0.0
131,0.039843749999999956,0.039843749999999956,0.0
132,0.05312500000000009,0.05312500000000009,0.0
133,0.06640625,0.06640625,0.0
134,0.07968749999999991,0.07968749999999991,0.0
135,0.09296875000000004,0.09296875000000004,0.0
136,0.10624999999999996,0.10624999999999996,0.0
137,0.11953125000000009,0.11953125000000009,0.0
138,0.1328125,0.1328125,0.0
139,0.1460937499999999,0.1460937499999999,0.0
140,0.15937500000000004,0.15937500000000004,0.0
141,0.17265624999999996,0.17265624999999996,0.0
142,0.1859375000000001,0.1859375000000001,0.0
143,0.19921875,0.19921875,0.0
144,0.2124999999999999,0.2124999999999999,0.0
145,0.22578125000000004,0.22578125000000004,0.0
146,0.23906249999999996,0.23906249999999996,0.0
147,0.2523437500000001,0.2523437500000001,0.0
148,0.265625,0.265625,0.0
149,0.2789062499999999,0.2789062499999999,0.0
150,0.29218750000000004,0.29218750000000004,0.0
151,0.30546874999999996,0.30546874999999996,0.0
152,0.31874999999999987,0.31874999999999987,0.0
153,0.3320312499999998,0.3320312499999998,0.0
154,0.34531250000000013,0.34531250000000013,0.0
155,0.35859375000000004,0.35859375000000004,0.0
156,0.37187499999999996,0.37187499999999996,0.0
157,0.38515624999999987,0.38515624999999987,0.0
158,0.3984374999999998,0.3984374999999998,0.0
159,0.41171875000000013,0.41171875000000013,0.0
160,0.42500000000000004,0.42500000000000004,0.0
161,0.43828124999999996,0.43828124999999996,0.0
162,0.45156249999999987,0.45156249999999987,0.0
163,0.4648437499999998,0.4648437499999998,0.0
164,0.47812500000000013,0.47812500000000013,0.0
165,0.49140625000000004,0.49140625000000004,0.0
166,0.5046875,0.5046875,0.0
167,0.5179687499999999,0.5179687499999999,0.0
168,0.5312499999999998,0.5312499999999998,0.0
169,0.5445312500000001,0.5445312500000001,0.0
170,0.5578125,0.5578125,0.0
171,0.57109375,0.57109375,0.0
172,0.5843749999999999,0.5843749999999999,0.0
173,0.5976562499999998,0.5976562499999998,0.0
174,0.6109375000000001,0.6109375000000001,0.0
175,0.62421875,0.62421875,0.0
176,0.6375,0.6375,0.0
177,0.6507812499999999,0.6507812499999999,0.0
178,0.6640624999999998,0.6640624999999998,0.0
179,0.6773437500000001,0.6773437500000001,0.0
180,0.690625,0.690625,0.0
181,0.70390625,0.70390625,0.0
182,0.7171874999999999,0.7171874999999999,0.0
183,0.7304687499999998,0.7304687499999998,0.0
184,0.7437500000000001,0.7437500000000001,0.0
185,0.75703125,0.75703125,0.0
186,0.7703125,0.7703125,0.0
187,0.7835937499999999,0.7835937499999999,0.0
188,0.7968749999999998,0.7968749999999998,0.0
189,0.8101562500000001,0.8101562500000001,0.0
190,0.8234375,0.8234375,0.0
191,0.83671875,0.83671875,0.0
192,0.8499999999999999,0.8499999999999999,0.0
193,0.8632812499999998,0.8632812499999998,0.0
194,0.8765625000000001,0.8765625000000001,0.0
195,0.88984375,0.88984375,0.0
196,0.903125,0.903125,0.0
197,0.9164062499999999,0.9164062499999999,0.0
198,0.9296874999999998,0.9296874999999998,0.0
199,0.9429687500000001,0.9429687500000001,0.0
200,0.95625,0.95625,0.0
201,0.96953125,0.96953125,0.0
202,0.9828124999999999,0.9828124999999999,0.0
203,0.9960937499999998,0.9960937499999998,0.0
204,1.0093750000000001,1.0093750000000001,0.0
205,1.02265625,1.02265625,0.0
206,1.0359375,1.0359375,0.0
207,1.0492187499999999,1.0492187499999999,0.0
208,1.0624999999999998,1.0624999999999998,0.0
209,1.0757812500000001,1.0757812500000001,0.0
210,1.0890625,1.0890625,0.0
211,1.10234375,1.10234375,0.0
212,1.1156249999999999,1.1156249999999999,0.0
213,1.1289062499999998,1.1289062499999998,0.0
214,1.1421875000000001,1.1421875000000001,0.0
215,1.15546875,1.15546875,0.0
216,1.16875,1.16875,0.0
217,1.1820312499999999,1.1820312499999999,0.0
218,1.1953124999999998,1.1953124999999998,0.0
219,1.2085937500000001,1.2085937500000001,0.0
220,1.221875,1.221875,0.0
221,1.23515625,1.23515625,0.0
222,1.2484374999999999,1.2484374999999999,0.0
223,1.2617187499999998,1.2617187499999998,0.0
224,1.2750000000000001,1.2750000000000001,0.0
225,1.28828125,1.28828125,0.0
226,1.3015625,1.3015625,0.0
227,1.3148437499999999,1.3148437499999999,0.0
228,1.3281249999999998,1.3281249999999998,0.0
229,1.3414062500000001,1.3414062500000001,0.0
230,1.3546875,1.3546875,0.0
231,1.36796875,1.36796875,0.0
232,1.3812499999999999,1.3812499999999999,0.0
233,1.3945312499999998,1.3945312499999998,0.0
234,1.4078125000000001,1.4078125000000001,0.0
235,1.42109375,1.42109375,0.0
236,1.434375,1.434375,0.0
237,1.4476562499999999,1.4476562499999999,0.0
238,1.4609374999999998,1.4609374999999998,0.0
239,1.4742187500000001,1.4742187500000001,0.0
240,1.4875,1.4875,0.0
241,1.50078125,1.50078125,0.0
242,1.5140624999999999,1.5140624999999999,0.0
243,1.5273437499999998,1.5273437499999998,0.0
244,1.5406250000000001,1.5406250000000001,0.0
245,1.55390625,1.55390625,0.0
246,1.5671875,1.5671875,0.0
247,1.5804687499999999,1.5804687499999999,0.0
248,1.5937499999999998,1.5937499999999998,0.0
249,1.6070312500000001,1.6070312500000001,0.0
250,1.6203125,1.6203125,0.0
251,1.63359375,1.63359375,0.0
252,1.6468749999999999,1.6468749999999999,0.0
253,1.6601562499999998,1.6601562499999998,0.0
254,1.6734375000000001,1.6734375000000001,0.0
255,1.68671875,1.68671875,0.0
