code,threshold_v,center_v,inl_lsb
176,0.6375,0.6441406250000001,0.0
177,0.6507812499999999,0.657421875,0.0
178,0.6640624999999998,0.670703125,0.0
179,0.6773437500000001,0.6839843749999999,0.0
180,0.690625,0.6972656249999998,0.0
181,0.70390625,0.7105468750000001,0.0
182,0.7171874999999999,0.723828125,0.0
183,0.7304687499999998,0.737109375,0.0
184,0.7437500000000001,0.7503906249999999,0.0
185,0.75703125,0.7636718749999998,0.0
186,0.7703125,0.7769531250000001,0.0
187,0.7835937499999999,0.790234375,0.0
188,0.7968749999999998,0.803515625,0.0
189,0.8101562500000001,0.8167968749999999,0.0
190,0.8234375,0.8300781249999998,0.0
191,0.83671875,0.8433593750000001,0.0
192,0.8499999999999999,0.856640625,0.0
193,0.8632812499999998,0.869921875,0.0
194,0.8765625000000001,0.8832031249999999,0.0
195,0.88984375,0.8964843749999998,0.0
196,0.903125,0.9097656250000001,0.0
197,0.9164062499999999,0.923046875,0.0
198,0.9296874999999998,0.936328125,0.0
199,0.9429687500000001,0.9496093749999999,0.0
200,0.95625,0.9628906249999998,0.0
201,0.96953125,0.9761718750000001,0.0
202,0.9828124999999999,0.989453125,0.0
203,0.9960937499999998,1.002734375,0.0
204,1.0093750000000001,1.0160156249999999,0.0
205,1.02265625,1.0292968749999998,0.0
206,1.0359375,1.0425781250000001,0.0
207,1.0492187499999999,1.055859375,0.0
208,1.0624999999999998,1.069140625,0.0
209,1.0757812500000001,1.0824218749999999,0.0
210,1.0890625,1.0957031249999998,0.0
211,1.10234375,1.1089843750000001,0.0
212,1.1156249999999999,1.122265625,0.0
213,1.1289062499999998,1.135546875,0.0
214,1.1421875000000001,1.1488281249999999,0.0
215,1.15546875,1.1621093749999998,0.0
216,1.16875,1.1753906250000001,0.0
217,1.1820312499999999,1.188671875,0.0
218,1.1953124999999998,1.201953125,0.0
219,1.2085937500000001,1.2152343749999999,0.0
220,1.221875,1.2285156249999998,0.0
221,1.23515625,1.2417968750000001,0.0
222,1.2484374999999999,1.255078125,0.0
223,1.2617187499999998,1.268359375,0.0
224,1.2750000000000001,1.2816406249999999,0.0
225,1.28828125,1.2949218749999998,0.0
226,1.3015625,1.3082031250000001,0.0
227,1.3148437499999999,1.321484375,0.0
228,1.3281249999999998,1.334765625,0.0
229,1.3414062500000001,1.3480468749999999,0.0
230,1.3546875,1.3613281249999998,0.0
231,1.36796875,1.3746093750000001,0.0
232,1.3812499999999999,1.387890625,0.0
233,1.3945312499999998,1.401171875,0.0
234,1.4078125000000001,1.4144531249999999,0.0
235,1.42109375,1.4277343749999998,0.0
236,1.434375,1.4410156250000001,0.0
237,1.4476562499999999,1.454296875,0.0
238,1.4609374999999998,1.467578125,0.0
239,1.4742187500000001,1.4808593749999999,0.0
240,1.4875,1.4941406249999998,0.0
241,1.50078125,1.5074218750000001,0.0
242,1.5140624999999999,1.520703125,0.0
243,1.5273437499999998,1.533984375,0.0
244,1.5406250000000001,1.5472656249999999,0.0
245,1.55390625,1.5605468749999998,0.0
246,1.5671875,1.5738281250000001,0.0
247,1.5804687499999999,1.587109375,0.0
248,1.5937499999999998,1.600390625,0.0
249,1.6070312500000001,1.6136718749999999,0.0
250,1.6203125,1.6269531249999998,0.0
251,1.63359375,1.6402343750000001,0.0
252,1.6468749999999999,1.653515625,0.0
253,1.6601562499999998,1.666796875,0.0
254,1.6734375000000001,1.6800781249999999,0.0
255,1.68671875,1.6933593749999998,0.0
