sample_index,valid_sample_index,t_sample_s,t_eoc_s,vinp_v,vinn_v,vdiff_v,code_decimal,code_hex,ideal_dac_output_vdiff_v,reconstructed_vdiff_v,quantization_error_v,quantization_error_lsb,clks_falling_sample,eoc_int
45,29,2.25e-05,2.2875e-05,2.1249184224261524,1.1750815775738475,0.9498368448523051,199,0xC7,0.9496093749999999,0.9496093749999999,-0.00022746985230526207,-0.0171271418206315,1,1
46,30,2.3e-05,2.3375e-05,1.2124460915902664,2.0875539084097334,-0.875107816819467,62,0x3E,-0.869921875,-0.869921875,0.005185941819467077,0.3904709134657564,1,1
47,31,2.35e-05,2.3874999999999998e-05,2.0484644650188204,1.2515355349811794,0.7969289300376412,188,0xBC,0.803515625,0.803515625,0.006586694962358752,0.4959393854011296,1,1
48,32,2.4e-05,2.4375e-05,1.2921958089536338,2.007804191046366,-0.7156083820927323,74,0x4A,-0.710546875,-0.710546875,0.005061507092732231,0.3811017105116033,1,1
49,33,2.45e-05,2.4874999999999998e-05,1.9657333778292823,1.3342666221707176,0.6314667556585645,175,0xAF,0.6308593749999998,0.6308593749999998,-0.0006073806585646935,-0.045732190762518096,1,1
50,34,2.5e-05,2.5375e-05,1.377582122653664,1.9224178773463358,-0.5448357546926719,86,0x56,-0.5511718750000001,-0.5511718750000001,-0.006336120307328219,-0.47707258784588946,1,1
51,35,2.55e-05,2.5875e-05,1.8780284483948066,1.4219715516051932,0.45605689678961364,162,0xA2,0.45820312500000004,0.45820312500000004,0.0021462282103864028,0.16159835937027034,1,1
52,36,2.6e-05,2.6374999999999997e-05,1.4672599165764628,1.832740083423537,-0.3654801668470743,100,0x64,-0.365234375,-0.365234375,0.0002457918470742948,0.018506680250299844,1,1
53,37,2.65e-05,2.6875e-05,1.7867313186758367,1.5132686813241631,0.27346263735167353,148,0x94,0.27226562499999996,0.27226562499999996,-0.0011970123516735764,-0.09012798883189281,1,1
54,38,2.7e-05,2.7374999999999998e-05,1.5598164696377927,1.740183530362207,-0.18036706072441447,114,0x72,-0.1792968749999999,-0.1792968749999999,0.0010701857244145574,0.08057868983827256,1,1
55,39,2.75e-05,2.7875e-05,1.6932802196372188,1.606719780362781,0.08656043927443766,134,0x86,0.08632812500000009,0.08632812500000009,-0.00023231427443756725,-0.0174918983105933,1,1
56,40,2.8e-05,2.8375e-05,1.653793710800568,1.6462062891994318,0.0075874216011364536,128,0x80,0.006640624999999956,0.006640624999999956,-0.000946796601136498,-0.0712882146738069,1,1
