bin,frequency_hz,power_linear,power_dbfs,classification,folded_harmonic_order,is_fundamental,is_largest_spur
16331,498382.568359375,2.4726213363653716e-11,-107.66710234620732,noise,,0,0
16332,498413.0859375,7.592854914584532e-38,-372.79462745699743,noise,,0,0
16333,498443.603515625,5.23866509551891e-11,-104.40647211923333,noise,,0,0
16334,498474.12109375,5.437955307722621e-40,-394.2443221311089,noise,,0,0
16335,498504.638671875,1.0050939082593609e-09,-91.57661206297729,noise,,0,0
16336,498535.15625,2.3484340976572073e-39,-387.8908946968226,noise,,0,0
16337,498565.673828125,1.5528896526065343e-11,-109.68727250969117,noise,,0,0
16338,498596.19140625,1.9855818316327774e-39,-388.6198005677843,noise,,0,0
16339,498626.708984375,6.004736970478433e-12,-113.81373858629522,noise,,0,0
16340,498657.2265625,1.0084141714199467e-38,-381.562289068293,noise,,0,0
16341,498687.744140625,1.4565556955133693e-10,-99.96540751337488,noise,,0,0
16342,498718.26171875,1.169705873600932e-39,-390.9179117639833,noise,,0,0
16343,498748.779296875,2.3165091788456405e-09,-87.95033821718462,noise,,0,0
16344,498779.296875,4.751570343477819e-40,-394.8303068403629,noise,,0,0
16345,498809.814453125,9.197351481520456e-12,-111.96205063503443,noise,,0,0
16346,498840.33203125,2.2217323949771504e-37,-368.13176099591095,noise,,0,0
16347,498870.849609375,1.634679966439051e-12,-119.46435106863294,noise,,0,0
16348,498901.3671875,4.9012741688331146e-40,-394.6955885021532,noise,,0,0
16349,498931.884765625,2.817580183486354e-10,-97.099915629245,noise,,0,0
16350,498962.40234375,1.8928399177961954e-40,-398.8275396094575,noise,,0,0
16351,498992.919921875,2.2065245377454762e-11,-108.16159085693128,noise,,0,0
16352,499023.4375,1.4409802772968994e-38,-380.0120981042829,noise,,0,0
16353,499053.955078125,1.818163417450736e-12,-119.00234931843835,noise,,0,0
16354,499084.47265625,2.2892145850890222e-39,-388.00181342861845,noise,,0,0
16355,499114.990234375,6.437310951135849e-11,-103.51163359075798,noise,,0,0
16356,499145.5078125,5.826566927499011e-40,-393.9445510770278,noise,,0,0
16357,499176.025390625,1.2229207902581827e-09,-90.72469518811664,noise,,0,0
16358,499206.54296875,2.6074877004869564e-39,-387.4364557855517,noise,,0,0
16359,499237.060546875,2.2045299037999462e-12,-118.16551852813319,noise,,0,0
16360,499267.578125,1.7788046032466123e-39,-389.0973960243327,noise,,0,0
16361,499298.095703125,5.791332203541399e-11,-103.97089369358835,noise,,0,0
16362,499328.61328125,8.021818770652952e-39,-382.55595000939644,noise,,0,0
16363,499359.130859375,6.6670119751090055e-12,-113.35936611898143,noise,,0,0
16364,499389.6484375,1.7692971125882433e-41,-409.12067078330494,noise,,0,0
16365,499420.166015625,1.1402898837570391e-10,-101.02852575657623,noise,,0,0
16366,499450.68359375,7.36457574299819e-40,-392.92720113942687,noise,,0,0
16367,499481.201171875,2.073921796974215e-11,-108.43075471019725,noise,,0,0
16368,499511.71875,6.668485018827167e-38,-373.35840667253365,noise,,0,0
16369,499542.236328125,1.595997334576976e-11,-109.5683568537828,noise,,0,0
16370,499572.75390625,2.114756148318459e-40,-398.34607550816634,noise,,0,0
16371,499603.271484375,4.2410071339056424e-10,-95.32398844094482,noise,,0,0
16372,499633.7890625,2.251935520666598e-39,-388.07311895824273,noise,,0,0
16373,499664.306640625,1.220584858343002e-10,-100.73299868969018,noise,,0,0
16374,499694.82421875,1.3334924173999518e-38,-380.3487729657603,noise,,0,0
16375,499725.341796875,6.663467907644711e-12,-113.36167536664999,noise,,0,0
16376,499755.859375,4.763252454724825e-39,-384.81964247149654,noise,,0,0
16377,499786.376953125,4.614645139679462e-12,-114.9572953713789,noise,,0,0
16378,499816.89453125,1.7969495592380284e-39,-389.05331960552337,noise,,0,0
16379,499847.412109375,6.293678438546774e-10,-93.60963297255796,noise,,0,0
16380,499877.9296875,6.658005317389878e-41,-403.36523709424193,noise,,0,0
16381,499908.447265625,4.6380796473017766e-12,-114.935296448159,noise,,0,0
16382,499938.96484375,5.02742649387977e-38,-374.5852211760713,noise,,0,0
16383,499969.482421875,2.3712949536154163e-11,-107.84882270018385,noise,,0,0
16384,500000.0,6.184637778789903e-39,-383.685535780958,noise,,0,0
16385,500030.517578125,2.8130805838899183e-11,-107.10685673890234,noise,,0,0
16386,500061.03515625,3.189992735670424e-39,-386.5607815302029,noise,,0,0
16387,500091.552734375,1.841277756887446e-11,-108.94748540291604,noise,,0,0
16388,500122.0703125,1.4059137962293992e-39,-390.11909154409915,noise,,0,0
