code,transition_dnl_lsb,ramp_hist_dnl_lsb,ramp_hist_inl_lsb,sine_count,sine_expected_count,sine_corrected_dnl_lsb,sine_residual_sigma,sine_valid_for_cdf_check
46,-6.661338147750939e-15,0.0,0.0,1067,1067.2327508543967,-0.00021808818574053923,-0.007139167302186389,True
47,-6.661338147750939e-15,0.0,0.0,1053,1053.365540144412,-0.0003470211721203764,-0.011285474918336431,True
48,-6.661338147750939e-15,0.0,0.0,1040,1040.1868788116553,-0.00017965888193938184,-0.00580587567913927,True
49,9.992007221626409e-15,0.0,0.0,1028,1027.6466794505104,0.0003438152008417017,0.011043326453031146,True
50,9.992007221626409e-15,0.0,0.0,1016,1015.6998673424678,0.00029549344957335855,0.009435687433533124,True
51,-6.661338147750939e-15,0.0,0.0,1004,1004.3057558492292,-0.0003044449834608276,-0.009666634844184563,True
52,-6.661338147750939e-15,0.0,0.0,993,993.4275143634586,-0.0004303427852333508,-0.013589612971530083,True
53,1.7763568394002505e-15,0.0,0.0,983,983.0317130382027,-3.226044265114414e-05,-0.001013374361356642,True
54,1.7763568394002505e-15,0.0,0.0,974,973.0879315414932,0.0009372929505579997,0.029292669524913943,True
55,1.7763568394002505e-15,0.0,0.0,963,963.5684214642679,-0.0005899129232609379,-0.018345469598808825,True
56,-6.661338147750939e-15,0.0,0.0,955,954.4478139020794,0.0005785398529680741,0.017906117716128676,True
57,1.7763568394002505e-15,0.0,0.0,945,945.7028652406589,-0.0007432199546947293,-0.022897048511538187,True
58,1.7763568394002505e-15,0.0,0.0,937,937.3122353859508,-0.00033311779593081514,-0.01021686823371303,True
59,1.7763568394002505e-15,0.0,0.0,930,929.2562936600443,0.0008003242431928737,0.02444020509838029,True
60,1.7763568394002505e-15,0.0,0.0,921,921.5169483770151,-0.0005609754415537571,-0.01705926033831668,True
61,-6.661338147750939e-15,0.0,0.0,914,914.0774967615725,-8.478139090739578e-05,-0.002567737041263108,True
62,1.7763568394002505e-15,0.0,0.0,907,906.9224924043228,8.546220468264032e-05,0.002578171072886913,True
63,1.7763568394002505e-15,0.0,0.0,900,900.0376278847689,-4.180701295486422e-05,-0.0012563952969910914,True
64,1.7763568394002505e-15,0.0,0.0,894,893.4096305546991,0.0006608048817811074,0.01978517419430705,True
65,1.7763568394002505e-15,0.0,0.0,887,887.0261697755632,-2.9502822413651764e-05,-0.0008801725023296704,True
66,-6.661338147750939e-15,0.0,0.0,881,880.8757741529116,0.00014102538715832225,0.004192620338605203,True
67,1.7763568394002505e-15,0.0,0.0,875,874.9477575213823,5.970925483111955e-05,0.0017691256876318255,True
68,1.7763568394002505e-15,0.0,0.0,869,869.2321526094602,-0.0002670777982191064,-0.007887273562200073,True
69,1.7763568394002505e-15,0.0,0.0,864,863.7196514615644,0.0003245827948470392,0.009554952670547283,True
70,1.7763568394002505e-15,0.0,0.0,858,858.401551820818,-0.00046779018510190173,-0.013728041298567218,True
71,-6.661338147750939e-15,0.0,0.0,853,853.2697087816923,-0.0003160885461144236,-0.009248256847559276,True
72,1.7763568394002505e-15,0.0,0.0,849,848.3164911138301,0.0008057239171106456,0.023505476173233866,True
73,1.7763568394002505e-15,0.0,0.0,843,843.5347417337325,-0.0006339297094432039,-0.01844133945960094,True
74,1.7763568394002505e-15,0.0,0.0,839,838.9177418691688,9.805267754603442e-05,0.0028445605309619687,True
75,-6.661338147750939e-15,0.0,0.0,834,834.4591785169905,-0.0005502707967172116,-0.01592103659767537,True
76,9.992007221626409e-15,0.0,0.0,831,830.1531148442009,0.0010201553673119257,0.029439753479866042,True
77,-6.661338147750939e-15,0.0,0.0,826,825.9939632246969,7.30849809049694e-06,0.00021037874867508856,True
78,-6.661338147750939e-15,0.0,0.0,822,821.9764606405224,2.86375104454617e-05,0.0008223314604372466,True
79,9.992007221626409e-15,0.0,0.0,818,818.0956462082104,-0.00011691323460005787,-0.0033492259450014707,True
80,-6.661338147750939e-15,0.0,0.0,814,814.3468406182947,-0.00042591264679225915,-0.012173090725085687,True
81,9.992007221626409e-15,0.0,0.0,811,810.7256273005478,0.00033842855118049187,0.009651094129464534,True
82,-6.661338147750939e-15,0.0,0.0,807,807.2278351479617,-0.0002822439193018722,-0.00803142038017515,True
83,-6.661338147750939e-15,0.0,0.0,804,803.8495226511004,0.000187195917468852,0.00531557982849533,True
84,9.992007221626409e-15,0.0,0.0,801,800.586963310896,0.0005159173306994447,0.014620039822604049,True
85,-6.661338147750939e-15,0.0,0.0,797,797.4366322116402,-0.0005475447126491728,-0.01548564306514274,True
86,9.992007221626409e-15,0.0,0.0,794,794.3951936484809,-0.0004974773911532449,-0.014042702304502507,True
87,-6.661338147750939e-15,0.0,0.0,792,791.459489715402,0.0006829285536678054,0.019241822961902084,True
88,-6.661338147750939e-15,0.0,0.0,788,788.6265297681384,-0.0007944568746914848,-0.02234396606319299,True
89,9.992007221626409e-15,0.0,0.0,786,785.8934806865436,0.00013553912339792085,0.003805384010212271,True
90,-6.661338147750939e-15,0.0,0.0,783,783.2576578673761,-0.00032895671659005643,-0.009220211142333293,True
91,9.992007221626409e-15,0.0,0.0,781,780.7165168860083,0.00036310633611602583,0.010160806556249213,True
92,-6.661338147750939e-15,0.0,0.0,779,778.267645771135,0.0009410056204242068,0.0262907117233236,True
93,-6.661338147750939e-15,0.0,0.0,775,775.9087578423932,-0.0011712174056653923,-0.03267281266534231,True
94,9.992007221626409e-15,0.0,0.0,774,773.6376850653178,0.000468326377678574,0.013045454630973587,True
95,-6.661338147750939e-15,0.0,0.0,771,771.4523718821583,-0.000586389903831197,-0.0163110161988235,True
96,9.992007221626409e-15,0.0,0.0,770,769.3508694816846,0.000843737940730005,0.023437324479669546,True
97,-6.661338147750939e-15,0.0,0.0,767,767.3313304736366,-0.0004317958363985186,-0.011978611164199337,True
98,-6.661338147750939e-15,0.0,0.0,765,765.3920039373188,-0.0005121610041681768,-0.014190033126624072,True
99,9.992007221626409e-15,0.0,0.0,764,763.5312308162829,0.0006139489320116098,0.016989439287595696,True
100,-6.661338147750939e-15,0.0,0.0,762,761.7474396334001,0.0003315539422377167,0.00916413778958123,True
101,9.992007221626409e-15,0.0,0.0,760,760.0391425035923,-5.1500641747748155e-05,-0.0014218740038352182,True
102,-6.661338147750939e-15,0.0,0.0,758,758.4049314225849,-0.0005339250917387739,-0.014725160632343741,True
103,-6.661338147750939e-15,0.0,0.0,757,756.8434748127183,0.00020681315554771373,0.005697824068327928,True
104,9.992007221626409e-15,0.0,0.0,755,755.353514308008,-0.00046801173399169116,-0.012881263667448899,True
105,-6.661338147750939e-15,0.0,0.0,754,753.9338617626054,8.772419007674337e-05,0.002412189449461915,True
106,9.992007221626409e-15,0.0,0.0,753,752.5833964677731,0.0005535646071679334,0.015207923921845631,True
107,-6.661338147750939e-15,0.0,0.0,751,751.3010625640745,-0.00040072160026904946,-0.010999501139732368,True
108,-6.661338147750939e-15,0.0,0.0,750,750.0858666364948,-0.0001144757424637044,-0.0031397219208669546,True
109,9.992007221626409e-15,0.0,0.0,749,748.9368754812604,8.428549962791188e-05,0.002309918958554518,True
110,-6.661338147750939e-15,0.0,0.0,748,747.853214034214,0.00019627643905439918,0.005375225924782178,True
111,9.992007221626409e-15,0.0,0.0,747,746.8340634513152,0.00022218663663786664,0.006080643156935821,True
112,-6.661338147750939e-15,0.0,0.0,746,745.8786593327532,0.00016268151089793292,0.00444929311921375,True
113,-6.661338147750939e-15,0.0,0.0,745,744.986290082903,1.840291194543653e-05,0.0005030123836252766,True
114,9.992007221626409e-15,0.0,0.0,744,744.1562953990942,-0.00021003033913780111,-0.0057376151271114105,True
115,-6.661338147750939e-15,0.0,0.0,743,743.3880648825289,-0.000522021943667017,-0.014253227348004443,True
116,9.992007221626409e-15,0.0,0.0,743,742.6810367658618,0.0004294753983853372,0.011720753500987776,True
117,-6.661338147750939e-15,0.0,0.0,742,742.0346967517689,-4.675893448224944e-05,-0.0012755346165058863,True
118,-6.661338147750939e-15,0.0,0.0,741,741.4485769579187,-0.0006050007672266933,-0.01649724762587856,True
119,9.992007221626409e-15,0.0,0.0,742,740.9222549640981,0.0014545993573293892,0.03965010337333216,True
120,-6.661338147750939e-15,0.0,0.0,740,740.4553529573313,-0.0006149634215117938,-0.01675764352627839,True
121,9.992007221626409e-15,0.0,0.0,740,740.0475369720225,-6.423502497820976e-05,-0.0017499095131563937,True
122,-6.661338147750939e-15,0.0,0.0,740,739.6985162216588,0.0004075765622475469,0.011100695038551194,True
123,-6.661338147750939e-15,0.0,0.0,739,739.4080425197899,-0.0005518502590252661,-0.015027152389185713,True
124,9.992007221626409e-15,0.0,0.0,739,739.1759097876638,-0.00023798095329485847,-0.006479317534408615,True
125,-6.661338147750939e-15,0.0,0.0,739,739.0019536470063,-2.64362901436499e-06,-7.196748408269277e-05,True
126,9.992007221626409e-15,0.0,0.0,739,738.8860510959785,0.00015421715412333725,0.0041979217564889785,True
127,-6.661338147750939e-15,0.0,0.0,739,738.828120267237,0.0002326383201289861,0.0063323634650378335,True
128,-6.661338147750939e-15,0.0,0.0,739,738.8281202672224,0.00023263832014874808,0.006332363465574015,True
129,9.992007221626409e-15,0.0,0.0,739,738.886051095993,0.00015421715410379733,0.004197921755952839,True
130,-6.661338147750939e-15,0.0,0.0,739,739.0019536470063,-2.64362901436499e-06,-7.196748408269277e-05,True
131,9.992007221626409e-15,0.0,0.0,739,739.1759097876493,-0.0002379809532750965,-0.006479317533872685,True
132,-6.661338147750939e-15,0.0,0.0,739,739.4080425197899,-0.0005518502590252661,-0.015027152389185713,True
133,-6.661338147750939e-15,0.0,0.0,740,739.6985162216588,0.0004075765622475469,0.011100695038551194,True
134,9.992007221626409e-15,0.0,0.0,740,740.047536972008,-6.423502495855882e-05,-0.0017499095126207323,True
135,-6.661338147750939e-15,0.0,0.0,740,740.4553529573313,-0.0006149634215117938,-0.01675764352627839,True
136,9.992007221626409e-15,0.0,0.0,742,740.9222549640981,0.0014545993573293892,0.03965010337333216,True
137,-6.661338147750939e-15,0.0,0.0,741,741.4485769579478,-0.0006050007672659952,-0.016497247626948586,True
138,-6.661338147750939e-15,0.0,0.0,742,742.0346967517689,-4.675893448224944e-05,-0.0012755346165058863,True
139,9.992007221626409e-15,0.0,0.0,743,742.6810367658618,0.0004294753983853372,0.011720753500987776,True
140,-6.661338147750939e-15,0.0,0.0,743,743.3880648825143,-0.0005220219436474771,-0.014253227347470105,True
141,9.992007221626409e-15,0.0,0.0,744,744.1562953990942,-0.00021003033913780111,-0.0057376151271114105,True
142,-6.661338147750939e-15,0.0,0.0,745,744.9862900828884,1.8402911964976454e-05,0.0005030123841591865,True
143,-6.661338147750939e-15,0.0,0.0,746,745.8786593327532,0.00016268151089793292,0.00444929311921375,True
144,9.992007221626409e-15,0.0,0.0,747,746.8340634513006,0.00022218663665740657,0.006080643157469126,True
145,-6.661338147750939e-15,0.0,0.0,748,747.8532140342286,0.00019627643903485925,0.005375225924249242,True
146,9.992007221626409e-15,0.0,0.0,749,748.9368754812749,8.428549960837195e-05,0.002309918958021996,True
147,-6.661338147750939e-15,0.0,0.0,750,750.0858666364802,-0.0001144757424442755,-0.003139721920334893,True
148,-6.661338147750939e-15,0.0,0.0,751,751.3010625640745,-0.00040072160026904946,-0.010999501139732368,True
149,9.992007221626409e-15,0.0,0.0,753,752.5833964677877,0.0005535646071486156,0.015207923921314273,True
150,-6.661338147750939e-15,0.0,0.0,754,753.9338617626054,8.772419007674337e-05,0.002412189449461915,True
151,-6.661338147750939e-15,0.0,0.0,755,755.3535143079935,-0.0004680117339724843,-0.012881263666918783,True
152,-6.661338147750939e-15,0.0,0.0,757,756.8434748127183,0.00020681315554771373,0.005697824068327928,True
153,2.6867397195928788e-14,0.0,0.0,758,758.4049314225849,-0.0005339250917387739,-0.014725160632343741,True
154,-6.661338147750939e-15,0.0,0.0,760,760.0391425036069,-5.150064176684399e-05,-0.0014218740043638117,True
155,-6.661338147750939e-15,0.0,0.0,762,761.7474396334146,0.0003315539422186209,0.009164137789053128,True
156,-6.661338147750939e-15,0.0,0.0,764,763.5312308162684,0.0006139489320304836,0.016989439288123256,True
157,-6.661338147750939e-15,0.0,0.0,765,765.3920039373334,-0.0005121610041871616,-0.014190033127150697,True
158,2.6867397195928788e-14,0.0,0.0,767,767.3313304736221,-0.0004317958363795338,-0.011978611163673353,True
159,-6.661338147750939e-15,0.0,0.0,770,769.3508694816846,0.000843737940730005,0.023437324479669546,True
160,-6.661338147750939e-15,0.0,0.0,771,771.4523718821583,-0.000586389903831197,-0.0163110161988235,True
