bin,frequency_hz,power_linear,power_dbfs,classification,folded_harmonic_order,is_fundamental,is_largest_spur
19897,607208.251953125,7.114907808242151e-12,-113.07698570027304,noise,,0,0
19898,607238.76953125,2.7459859250540074e-42,-417.21169540224986,noise,,0,0
19899,607269.287109375,8.319972426788648e-11,-102.39745960094317,noise,,0,0
19900,607299.8046875,7.34418591338769e-40,-392.9392418487209,noise,,0,0
19901,607330.322265625,2.9888565429982007e-11,-106.84362776509433,noise,,0,0
19902,607360.83984375,2.6968809374185793e-39,-387.2900607355904,noise,,0,0
19903,607391.357421875,2.1886067580331777e-11,-108.19700111179357,noise,,0,0
19904,607421.875,4.4165076241815165e-40,-395.14788862599926,noise,,0,0
19905,607452.392578125,1.2108212071296729e-11,-110.76787828218391,noise,,0,0
19906,607482.91015625,1.8500335574170334e-39,-388.92688241030703,noise,,0,0
19907,607513.427734375,2.3738169117382803e-11,-107.84420627540584,noise,,0,0
19908,607543.9453125,2.999588342605338e-39,-386.8280618997361,noise,,0,0
19909,607574.462890625,2.6248087524243534e-11,-107.40770181557282,noise,,0,0
19910,607604.98046875,1.2034183887444747e-39,-390.7945120368196,noise,,0,0
19911,607635.498046875,8.555586221692219e-12,-112.27618074697193,noise,,0,0
19912,607666.015625,5.80275948413612e-40,-393.9623327702385,noise,,0,0
19913,607696.533203125,7.238110723519977e-13,-123.00242624738465,noise,,0,0
19914,607727.05078125,6.6129082177027e-39,-383.3947535203441,noise,,0,0
19915,607757.568359375,2.3033666718260177e-11,-107.97504768496515,noise,,0,0
19916,607788.0859375,1.5451089330868733e-38,-379.7090874367424,noise,,0,0
19917,607818.603515625,2.741664290043037e-11,-107.21853571660118,noise,,0,0
19918,607849.12109375,1.0965555947789533e-40,-401.19837192024164,noise,,0,0
19919,607879.638671875,2.7984836960773403e-11,-107.12945066035371,noise,,0,0
19920,607910.15625,3.448191304589442e-39,-386.2227649474766,noise,,0,0
19921,607940.673828125,5.956769369141174e-11,-103.8485706143863,noise,,0,0
19922,607971.19140625,3.6794904648033235e-39,-385.94080165279246,noise,,0,0
19923,608001.708984375,5.608133942628212e-11,-104.1104946947889,noise,,0,0
19924,608032.2265625,4.136660605712389e-38,-375.4321795663282,noise,,0,0
19925,608062.744140625,2.1577863298388842e-11,-108.25859409695731,noise,,0,0
19926,608093.26171875,5.537206561487786e-38,-374.1657712223676,noise,,0,0
19927,608123.779296875,2.1281385232841534e-12,-118.3186795376094,noise,,0,0
19928,608154.296875,3.4485938326003294e-38,-376.2222579991212,noise,,0,0
19929,608184.814453125,1.9548273032303388e-11,-108.68759450868075,noise,,0,0
19930,608215.33203125,7.8666873680339e-40,-392.6407595598479,noise,,0,0
19931,608245.849609375,3.712410964706899e-11,-105.90211800390239,noise,,0,0
19932,608276.3671875,2.5680602425543025e-38,-377.5026263972767,noise,,0,0
19933,608306.884765625,1.90622286916011e-11,-108.79694171573065,noise,,0,0
19934,608337.40234375,1.4287076793339243e-38,-380.0492446801396,noise,,0,0
19935,608367.919921875,4.071039733911155e-11,-105.5016250591824,noise,,0,0
19936,608398.4375,1.2570370419396465e-37,-370.6051977157609,noise,,0,0
19937,608428.955078125,4.6954776996182996e-11,-104.8818806481319,noise,,0,0
19938,608459.47265625,5.961713478027507e-38,-373.84496747234556,noise,,0,0
19939,608489.990234375,7.531596422901036e-12,-112.82980806592727,noise,,0,0
19940,608520.5078125,3.3256196904865475e-35,-346.3799526419546,noise,,0,0
19941,608551.025390625,2.629791712556997e-11,-107.39946494674797,noise,,0,0
19942,608581.54296875,1.3733690818838148e-39,-390.2208058102462,noise,,0,0
19943,608612.060546875,2.1915922463310832e-12,-118.19108091824502,noise,,0,0
19944,608642.578125,2.1199628083277823e-37,-368.33539605163674,noise,,0,0
19945,608673.095703125,1.4633621584756753e-11,-109.94516026802252,noise,,0,0
19946,608703.61328125,5.302792064878632e-38,-374.3536324936233,noise,,0,0
19947,608734.130859375,8.788779956830923e-12,-112.15939255840331,noise,,0,0
19948,608764.6484375,1.926150207507742e-38,-378.75177695275966,noise,,0,0
19949,608795.166015625,1.3957892193257815e-11,-110.15048007455306,noise,,0,0
