transition_code,point,delta_lsb,vdiff_v,expected_code,direct_code,sar_code,oracle_code,status
47,plus_eps,0.0001,-1.075779921875,47,47,47,47,PASS
48,minus_eps,-0.0001,-1.062501328125,47,47,47,47,PASS
48,exact,0.0,-1.0625,48,48,48,48,PASS
48,plus_eps,0.0001,-1.062498671875,48,48,48,48,PASS
49,minus_eps,-0.0001,-1.049220078125,48,48,48,48,PASS
49,exact,0.0,-1.04921875,49,49,49,49,PASS
49,plus_eps,0.0001,-1.0492174218750001,49,49,49,49,PASS
50,minus_eps,-0.0001,-1.035938828125,49,49,49,49,PASS
50,exact,0.0,-1.0359375,50,50,50,50,PASS
50,plus_eps,0.0001,-1.035936171875,50,50,50,50,PASS
51,minus_eps,-0.0001,-1.0226575781249998,50,50,50,50,PASS
51,exact,0.0,-1.0226562499999998,51,51,51,51,PASS
51,plus_eps,0.0001,-1.0226549218749998,51,51,51,51,PASS
52,minus_eps,-0.0001,-1.0093763281249999,51,51,51,51,PASS
52,exact,0.0,-1.009375,52,52,52,52,PASS
52,plus_eps,0.0001,-1.009373671875,52,52,52,52,PASS
53,minus_eps,-0.0001,-0.996095078125,52,52,52,52,PASS
53,exact,0.0,-0.99609375,53,53,53,53,PASS
53,plus_eps,0.0001,-0.996092421875,53,53,53,53,PASS
54,minus_eps,-0.0001,-0.982813828125,53,53,53,53,PASS
54,exact,0.0,-0.9828125,54,54,54,54,PASS
54,plus_eps,0.0001,-0.982811171875,54,54,54,54,PASS
55,minus_eps,-0.0001,-0.9695325781249999,54,54,54,54,PASS
55,exact,0.0,-0.96953125,55,55,55,55,PASS
55,plus_eps,0.0001,-0.969529921875,55,55,55,55,PASS
56,minus_eps,-0.0001,-0.9562513281249999,55,55,55,55,PASS
56,exact,0.0,-0.9562499999999999,56,56,56,56,PASS
56,plus_eps,0.0001,-0.956248671875,56,56,56,56,PASS
57,minus_eps,-0.0001,-0.942970078125,56,56,56,56,PASS
57,exact,0.0,-0.94296875,57,57,57,57,PASS
57,plus_eps,0.0001,-0.942967421875,57,57,57,57,PASS
58,minus_eps,-0.0001,-0.929688828125,57,57,57,57,PASS
58,exact,0.0,-0.9296875,58,58,58,58,PASS
58,plus_eps,0.0001,-0.929686171875,58,58,58,58,PASS
59,minus_eps,-0.0001,-0.916407578125,58,58,58,58,PASS
59,exact,0.0,-0.91640625,59,59,59,59,PASS
59,plus_eps,0.0001,-0.916404921875,59,59,59,59,PASS
60,minus_eps,-0.0001,-0.9031263281249999,59,59,59,59,PASS
60,exact,0.0,-0.903125,60,60,60,60,PASS
60,plus_eps,0.0001,-0.903123671875,60,60,60,60,PASS
61,minus_eps,-0.0001,-0.8898450781249999,60,60,60,60,PASS
61,exact,0.0,-0.8898437499999999,61,61,61,61,PASS
61,plus_eps,0.0001,-0.889842421875,61,61,61,61,PASS
62,minus_eps,-0.0001,-0.876563828125,61,61,61,61,PASS
62,exact,0.0,-0.8765625,62,62,62,62,PASS
62,plus_eps,0.0001,-0.876561171875,62,62,62,62,PASS
63,minus_eps,-0.0001,-0.863282578125,62,62,62,62,PASS
63,exact,0.0,-0.86328125,63,63,63,63,PASS
63,plus_eps,0.0001,-0.863279921875,63,63,63,63,PASS
64,minus_eps,-0.0001,-0.850001328125,63,63,63,63,PASS
64,exact,0.0,-0.85,64,64,64,64,PASS
64,plus_eps,0.0001,-0.849998671875,64,64,64,64,PASS
65,minus_eps,-0.0001,-0.8367200781249999,64,64,64,64,PASS
65,exact,0.0,-0.83671875,65,65,65,65,PASS
65,plus_eps,0.0001,-0.836717421875,65,65,65,65,PASS
66,minus_eps,-0.0001,-0.8234388281249999,65,65,65,65,PASS
66,exact,0.0,-0.8234374999999999,66,66,66,66,PASS
66,plus_eps,0.0001,-0.823436171875,66,66,66,66,PASS
67,minus_eps,-0.0001,-0.810157578125,66,66,66,66,PASS
67,exact,0.0,-0.81015625,67,67,67,67,PASS
67,plus_eps,0.0001,-0.810154921875,67,67,67,67,PASS
68,minus_eps,-0.0001,-0.796876328125,67,67,67,67,PASS
68,exact,0.0,-0.796875,68,68,68,68,PASS
68,plus_eps,0.0001,-0.796873671875,68,68,68,68,PASS
69,minus_eps,-0.0001,-0.783595078125,68,68,68,68,PASS
69,exact,0.0,-0.78359375,69,69,69,69,PASS
69,plus_eps,0.0001,-0.783592421875,69,69,69,69,PASS
70,minus_eps,-0.0001,-0.7703138281249999,69,69,69,69,PASS
70,exact,0.0,-0.7703125,70,70,70,70,PASS
70,plus_eps,0.0001,-0.770311171875,70,70,70,70,PASS
71,minus_eps,-0.0001,-0.7570325781249999,70,70,70,70,PASS
71,exact,0.0,-0.7570312499999999,71,71,71,71,PASS
71,plus_eps,0.0001,-0.757029921875,71,71,71,71,PASS
72,minus_eps,-0.0001,-0.743751328125,71,71,71,71,PASS
72,exact,0.0,-0.74375,72,72,72,72,PASS
72,plus_eps,0.0001,-0.743748671875,72,72,72,72,PASS
73,minus_eps,-0.0001,-0.730470078125,72,72,72,72,PASS
73,exact,0.0,-0.73046875,73,73,73,73,PASS
73,plus_eps,0.0001,-0.730467421875,73,73,73,73,PASS
74,minus_eps,-0.0001,-0.717188828125,73,73,73,73,PASS
74,exact,0.0,-0.7171875,74,74,74,74,PASS
74,plus_eps,0.0001,-0.717186171875,74,74,74,74,PASS
75,minus_eps,-0.0001,-0.7039075781249999,74,74,74,74,PASS
75,exact,0.0,-0.70390625,75,75,75,75,PASS
75,plus_eps,0.0001,-0.703904921875,75,75,75,75,PASS
76,minus_eps,-0.0001,-0.690626328125,75,75,75,75,PASS
76,exact,0.0,-0.690625,76,76,76,76,PASS
76,plus_eps,0.0001,-0.6906236718750001,76,76,76,76,PASS
77,minus_eps,-0.0001,-0.6773450781249999,76,76,76,76,PASS
77,exact,0.0,-0.6773437499999999,77,77,77,77,PASS
77,plus_eps,0.0001,-0.6773424218749999,77,77,77,77,PASS
78,minus_eps,-0.0001,-0.664063828125,77,77,77,77,PASS
78,exact,0.0,-0.6640625,78,78,78,78,PASS
78,plus_eps,0.0001,-0.664061171875,78,78,78,78,PASS
79,minus_eps,-0.0001,-0.6507825781250001,78,78,78,78,PASS
79,exact,0.0,-0.6507812500000001,79,79,79,79,PASS
79,plus_eps,0.0001,-0.6507799218750001,79,79,79,79,PASS
80,minus_eps,-0.0001,-0.6375013281249999,79,79,79,79,PASS
80,exact,0.0,-0.6375,80,80,80,80,PASS
80,plus_eps,0.0001,-0.637498671875,80,80,80,80,PASS
81,minus_eps,-0.0001,-0.624220078125,80,80,80,80,PASS
81,exact,0.0,-0.62421875,81,81,81,81,PASS
81,plus_eps,0.0001,-0.6242174218750001,81,81,81,81,PASS
82,minus_eps,-0.0001,-0.6109388281249999,81,81,81,81,PASS
82,exact,0.0,-0.6109374999999999,82,82,82,82,PASS
82,plus_eps,0.0001,-0.6109361718749999,82,82,82,82,PASS
83,minus_eps,-0.0001,-0.597657578125,82,82,82,82,PASS
83,exact,0.0,-0.59765625,83,83,83,83,PASS
83,plus_eps,0.0001,-0.597654921875,83,83,83,83,PASS
84,minus_eps,-0.0001,-0.5843763281250001,83,83,83,83,PASS
84,exact,0.0,-0.5843750000000001,84,84,84,84,PASS
84,plus_eps,0.0001,-0.5843736718750001,84,84,84,84,PASS
85,minus_eps,-0.0001,-0.5710950781249999,84,84,84,84,PASS
85,exact,0.0,-0.57109375,85,85,85,85,PASS
85,plus_eps,0.0001,-0.571092421875,85,85,85,85,PASS
86,minus_eps,-0.0001,-0.557813828125,85,85,85,85,PASS
86,exact,0.0,-0.5578125,86,86,86,86,PASS
86,plus_eps,0.0001,-0.5578111718750001,86,86,86,86,PASS
87,minus_eps,-0.0001,-0.5445325781249999,86,86,86,86,PASS
87,exact,0.0,-0.5445312499999999,87,87,87,87,PASS
87,plus_eps,0.0001,-0.5445299218749999,87,87,87,87,PASS
88,minus_eps,-0.0001,-0.531251328125,87,87,87,87,PASS
88,exact,0.0,-0.53125,88,88,88,88,PASS
88,plus_eps,0.0001,-0.531248671875,88,88,88,88,PASS
89,minus_eps,-0.0001,-0.5179700781250001,88,88,88,88,PASS
89,exact,0.0,-0.5179687500000001,89,89,89,89,PASS
89,plus_eps,0.0001,-0.5179674218750001,89,89,89,89,PASS
90,minus_eps,-0.0001,-0.5046888281249999,89,89,89,89,PASS
90,exact,0.0,-0.5046875,90,90,90,90,PASS
90,plus_eps,0.0001,-0.504686171875,90,90,90,90,PASS
91,minus_eps,-0.0001,-0.491407578125,90,90,90,90,PASS
91,exact,0.0,-0.49140625000000004,91,91,91,91,PASS
91,plus_eps,0.0001,-0.49140492187500007,91,91,91,91,PASS
92,minus_eps,-0.0001,-0.4781263281249999,91,91,91,91,PASS
92,exact,0.0,-0.4781249999999999,92,92,92,92,PASS
92,plus_eps,0.0001,-0.47812367187499993,92,92,92,92,PASS
93,minus_eps,-0.0001,-0.464845078125,92,92,92,92,PASS
93,exact,0.0,-0.46484375,93,93,93,93,PASS
93,plus_eps,0.0001,-0.464842421875,93,93,93,93,PASS
94,minus_eps,-0.0001,-0.45156382812500007,93,93,93,93,PASS
94,exact,0.0,-0.4515625000000001,94,94,94,94,PASS
94,plus_eps,0.0001,-0.4515611718750001,94,94,94,94,PASS
95,minus_eps,-0.0001,-0.43828257812499993,94,94,94,94,PASS
95,exact,0.0,-0.43828124999999996,95,95,95,95,PASS
95,plus_eps,0.0001,-0.438279921875,95,95,95,95,PASS
96,minus_eps,-0.0001,-0.425001328125,95,95,95,95,PASS
96,exact,0.0,-0.42500000000000004,96,96,96,96,PASS
96,plus_eps,0.0001,-0.42499867187500007,96,96,96,96,PASS
97,minus_eps,-0.0001,-0.4117200781249999,96,96,96,96,PASS
97,exact,0.0,-0.4117187499999999,97,97,97,97,PASS
97,plus_eps,0.0001,-0.41171742187499993,97,97,97,97,PASS
98,minus_eps,-0.0001,-0.398438828125,97,97,97,97,PASS
98,exact,0.0,-0.3984375,98,98,98,98,PASS
98,plus_eps,0.0001,-0.398436171875,98,98,98,98,PASS
99,minus_eps,-0.0001,-0.38515757812500007,98,98,98,98,PASS
99,exact,0.0,-0.3851562500000001,99,99,99,99,PASS
99,plus_eps,0.0001,-0.3851549218750001,99,99,99,99,PASS
100,minus_eps,-0.0001,-0.37187632812499993,99,99,99,99,PASS
100,exact,0.0,-0.37187499999999996,100,100,100,100,PASS
100,plus_eps,0.0001,-0.371873671875,100,100,100,100,PASS
101,minus_eps,-0.0001,-0.358595078125,100,100,100,100,PASS
101,exact,0.0,-0.35859375000000004,101,101,101,101,PASS
101,plus_eps,0.0001,-0.35859242187500007,101,101,101,101,PASS
102,minus_eps,-0.0001,-0.3453138281249999,101,101,101,101,PASS
102,exact,0.0,-0.3453124999999999,102,102,102,102,PASS
102,plus_eps,0.0001,-0.34531117187499993,102,102,102,102,PASS
103,minus_eps,-0.0001,-0.332032578125,102,102,102,102,PASS
103,exact,0.0,-0.33203125,103,103,103,103,PASS
103,plus_eps,0.0001,-0.332029921875,103,103,103,103,PASS
104,minus_eps,-0.0001,-0.31875132812500007,103,103,103,103,PASS
104,exact,0.0,-0.3187500000000001,104,104,104,104,PASS
104,plus_eps,0.0001,-0.3187486718750001,104,104,104,104,PASS
105,minus_eps,-0.0001,-0.30547007812499993,104,104,104,104,PASS
105,exact,0.0,-0.30546874999999996,105,105,105,105,PASS
105,plus_eps,0.0001,-0.305467421875,105,105,105,105,PASS
106,minus_eps,-0.0001,-0.292188828125,105,105,105,105,PASS
106,exact,0.0,-0.29218750000000004,106,106,106,106,PASS
106,plus_eps,0.0001,-0.29218617187500007,106,106,106,106,PASS
107,minus_eps,-0.0001,-0.2789075781249999,106,106,106,106,PASS
107,exact,0.0,-0.2789062499999999,107,107,107,107,PASS
107,plus_eps,0.0001,-0.27890492187499993,107,107,107,107,PASS
108,minus_eps,-0.0001,-0.265626328125,107,107,107,107,PASS
108,exact,0.0,-0.265625,108,108,108,108,PASS
108,plus_eps,0.0001,-0.265623671875,108,108,108,108,PASS
