target_transition,lower_v,transition_v,upper_v,inl_ep_lsb
29,-1.3276821827325294,-1.3276043629083105,-1.327526543084092,-0.017606284658027268
30,-1.3145778145377092,-1.3144999947134903,-1.3144221748892715,-0.02934380776340111
31,-1.3013178066944513,-1.3012399868702325,-1.3011621670460136,-0.02934380776340111
32,-1.2874352402574434,-1.2873574204332248,-1.287279600609006,0.017606284658027268
33,-1.2741752324141855,-1.274097412589967,-1.274019592765748,0.017606284658027268
34,-1.2609152245709276,-1.260837404746709,-1.2607595849224902,0.017606284658027268
35,-1.2476552167276698,-1.2475773969034512,-1.2474995770792323,0.017606284658027268
36,-1.2347064881812868,-1.2346286683570682,-1.2345508485328494,-0.00586876155268692
37,-1.221446480338029,-1.2213686605138103,-1.2212908406895915,-0.00586876155268692
38,-1.2083421121432085,-1.2082642923189897,-1.208186472494771,-0.017606284658027268
39,-1.1949264646515132,-1.1948486448272946,-1.1947708250030757,-0.00586876155268692
40,-1.1813551775113804,-1.1812773576871618,-1.181199537862943,0.017606284658027268
41,-1.167939530019685,-1.1678617101954663,-1.1677838903712474,0.02934380776340111
42,-1.1546795221764272,-1.1546017023522084,-1.1545238825279895,0.02934380776340111
43,-1.1414195143331693,-1.1413416945089505,-1.1412638746847317,0.02934380776340111
44,-1.1284707857867864,-1.1283929659625676,-1.128315146138349,0.00586876155268692
45,-1.1152107779435285,-1.1151329581193097,-1.115055138295091,0.00586876155268692
46,-1.102106409748708,-1.1020285899244895,-1.1019507701002706,-0.00586876155268692
47,-1.0888464019054502,-1.0887685820812316,-1.0886907622570128,-0.00586876155268692
48,-1.0752751147653175,-1.0751972949410988,-1.07511947511688,0.017606284658027268
49,-1.0620151069220596,-1.061937287097841,-1.0618594672736221,0.017606284658027268
50,-1.0489107387272392,-1.0488329189030203,-1.0487550990788017,0.00586876155268692
51,-1.0356507308839813,-1.0355729110597625,-1.0354950912355438,0.00586876155268692
52,-1.0225463626891609,-1.0224685428649423,-1.0223907230407234,-0.00586876155268692
53,-1.0094419944943405,-1.0093641746701216,-1.009286354845903,-0.017606284658027268
54,-0.9961819866510827,-0.996104166826864,-0.9960263470026451,-0.017606284658044015
55,-0.9829219788078248,-0.9828441589836061,-0.9827663391593873,-0.017606284658044015
56,-0.9693506916676919,-0.9692728718434732,-0.9691950520192545,0.005868761552678547
57,-0.9559350441759966,-0.9558572243517778,-0.955779404527559,0.017606284658044015
58,-0.9426750363327387,-0.9425972165085199,-0.9425193966843012,0.017606284658044015
