target_transition,lower_v,transition_v,upper_v,inl_ep_lsb
121,-0.1010675265094426,-0.10098970668522386,-0.1009118868610051,-0.07629507540165562
122,-0.08796336256612927,-0.08788554274191052,-0.08780772291769177,-0.08803277930960118
123,-0.07470355897437866,-0.07462573915015991,-0.07454791932594117,-0.08803277930960118
124,-0.06144375538262783,-0.06136593555840908,-0.061288115734190324,-0.08803277930960118
125,-0.047872672494002,-0.04779485266978325,-0.0477170328455645,-0.06455737149370744
126,-0.03461286890225139,-0.03453504907803264,-0.03445722925381389,-0.06455737149370744
127,-0.02150870495893806,-0.02143088513471931,-0.02135306531050056,-0.07629507540165405
128,-0.0073150634765625,-0.007237243652343749,-0.007159423828124999,-0.00586885195397671
129,0.006878578005813374,0.006956397830032124,0.0070342176542508746,0.06455737149370756
130,0.020138381597564203,0.020216201421782952,0.0202940212460017,0.06455737149370744
131,0.03339818518931481,0.03347600501353356,0.03355382483775231,0.06455737149370744
132,0.04665798878106564,0.04673580860528439,0.04681362842950314,0.06455737149370744
133,0.06022907166969124,0.06030689149391,0.060384711318128746,0.08803277930960118
134,0.07333323561300459,0.07341105543722334,0.07348887526144209,0.07629507540165562
135,0.08659303920475542,0.08667085902897417,0.08674867885319291,0.07629507540165562
136,0.09969720314806851,0.09977502297228727,0.09985284279650603,0.06455737149370795
137,0.11326828603669435,0.1133461058609131,0.11342392568513185,0.08803277930960118
138,0.12652808962844497,0.1266059094526637,0.12668372927688246,0.08803277930960118
139,0.1397878932201958,0.13986571304441453,0.13994353286863329,0.08803277930960118
140,0.15304769681194663,0.15312551663616536,0.15320333646038412,0.08803277930960118
141,0.1666187797005722,0.16669659952479096,0.16677441934900972,0.11150818712549442
142,0.17972294364388555,0.1798007634681043,0.17987858329232304,0.09977048321754885
143,0.19298274723563616,0.19306056705985492,0.19313838688407364,0.09977048321754885
144,0.20530871293676198,0.20538653276098073,0.20546435258519946,0.029344259769867063
145,0.2187241561769503,0.21880197600116905,0.2188797958253878,0.04108196367781263
146,0.2319839597687009,0.23206177959291965,0.2321395994171384,0.04108196367781263
147,0.24508812371201424,0.245165943536233,0.24524376336045173,0.029344259769867063
148,0.25850356695220233,0.25858138677642106,0.25865920660063985,0.041081963677810536
149,0.2720746498408282,0.2721524696650469,0.27223028948926564,0.06455737149370587
150,0.2851788137841413,0.28525663360836007,0.2853344534325788,0.05281966758576239
151,0.2984386173758921,0.2985164372001109,0.2985942570243296,0.05281966758576239
152,0.31154278131920543,0.31162060114342416,0.31169842096764294,0.041081963677810536
153,0.32511386420783106,0.3251916840320498,0.3252695038562685,0.06455737149370587
154,0.33837366779958167,0.3384514876238004,0.3385293074480191,0.06455737149370587
155,0.3514778317428952,0.351555651567114,0.3516334713913327,0.05281966758576239
156,0.3648932749830833,0.36497109480730205,0.3650489146315208,0.06455737149370587
157,0.3784643578717089,0.3785421776959277,0.3786199975201464,0.08803277930960118
158,0.39156852181502244,0.39164634163924117,0.39172416146345995,0.07629507540164934
159,0.40482832540677305,0.4049061452309918,0.40498396505521056,0.07629507540164934
160,0.41606481356883623,0.416142633393055,0.41622045321727374,-0.07629507540164934
161,0.43088101364496223,0.43095883346918096,0.43103665329339974,0.041081963677810536
162,0.4439851775882754,0.4440629974124941,0.44414081723671284,0.029344259769867063
163,0.457244981180026,0.4573228010042447,0.45740062082846344,0.029344259769867063
164,0.4705047847717766,0.4705826045959953,0.47066042442021405,0.029344259769867063
165,0.4840758676604026,0.4841536874846214,0.4842315073088401,0.05281966758576239
166,0.4973356712521532,0.497413491076372,0.49749131090059073,0.05281966758576239
