timestamp_utc,process_count,total_threads,total_rss_kb,pids
2026-07-25T13:36:36.951500+00:00,0,0,0,
2026-07-25T13:42:09.375655+00:00,4,16,448884,1575920;1575947;1575981;1576008
2026-07-25T13:42:11.378186+00:00,4,16,460836,1575920;1575947;1575981;1576008
2026-07-25T13:42:13.380555+00:00,4,16,472428,1575920;1575947;1575981;1576008
2026-07-25T13:42:15.382756+00:00,4,16,484596,1575920;1575947;1575981;1576008
2026-07-25T13:42:17.385742+00:00,4,16,496836,1575920;1575947;1575981;1576008
2026-07-25T13:42:19.387949+00:00,4,16,505884,1575920;1575947;1575981;1576008
2026-07-25T13:42:21.391054+00:00,4,13,101948,1576434;1576435;1576488;1576522
2026-07-25T13:42:23.393551+00:00,4,16,114812,1576434;1576435;1576488;1576522
2026-07-25T13:42:25.396294+00:00,4,16,126512,1576434;1576435;1576488;1576522
2026-07-25T13:42:27.398745+00:00,4,16,151376,1576434;1576435;1576488;1576522
2026-07-25T13:42:29.401843+00:00,4,16,162948,1576434;1576435;1576488;1576522
2026-07-25T13:42:31.404345+00:00,4,16,169428,1576434;1576435;1576488;1576522
2026-07-25T13:42:33.406860+00:00,4,16,188112,1576434;1576435;1576488;1576522
2026-07-25T13:42:35.409299+00:00,4,16,201420,1576434;1576435;1576488;1576522
2026-07-25T13:42:37.411778+00:00,4,16,211140,1576434;1576435;1576488;1576522
2026-07-25T13:42:39.413112+00:00,4,16,221040,1576434;1576435;1576488;1576522
2026-07-25T13:42:41.415681+00:00,4,16,230640,1576434;1576435;1576488;1576522
2026-07-25T13:42:43.418629+00:00,4,16,240660,1576434;1576435;1576488;1576522
2026-07-25T13:42:45.421441+00:00,4,16,260368,1576434;1576435;1576488;1576522
2026-07-25T13:42:47.423727+00:00,4,16,274208,1576434;1576435;1576488;1576522
2026-07-25T13:42:49.426066+00:00,4,16,285296,1576434;1576435;1576488;1576522
2026-07-25T13:42:51.429405+00:00,4,16,294368,1576434;1576435;1576488;1576522
2026-07-25T13:42:53.431683+00:00,4,16,304304,1576434;1576435;1576488;1576522
2026-07-25T13:42:55.437235+00:00,4,16,314888,1576434;1576435;1576488;1576522
2026-07-25T13:42:57.440047+00:00,4,16,325400,1576434;1576435;1576488;1576522
2026-07-25T13:42:59.442465+00:00,4,16,336560,1576434;1576435;1576488;1576522
2026-07-25T13:43:01.445031+00:00,4,16,347936,1576434;1576435;1576488;1576522
2026-07-25T13:43:03.448157+00:00,4,16,359240,1576434;1576435;1576488;1576522
2026-07-25T13:43:05.450400+00:00,4,16,370616,1576434;1576435;1576488;1576522
2026-07-25T13:43:07.453113+00:00,4,16,382064,1576434;1576435;1576488;1576522
2026-07-25T13:43:09.453149+00:00,4,16,393872,1576434;1576435;1576488;1576522
2026-07-25T13:43:11.455632+00:00,4,16,405752,1576434;1576435;1576488;1576522
2026-07-25T13:43:13.457687+00:00,4,16,417416,1576434;1576435;1576488;1576522
2026-07-25T13:43:15.460171+00:00,4,16,428720,1576434;1576435;1576488;1576522
2026-07-25T13:43:17.462214+00:00,4,16,439376,1576434;1576435;1576488;1576522
2026-07-25T13:43:19.464957+00:00,4,16,450752,1576434;1576435;1576488;1576522
2026-07-25T13:43:21.467514+00:00,4,16,462344,1576434;1576435;1576488;1576522
