job_id,mismatch_seed,noise_mode,band,early_frame,same_phase_frame,early_code,same_phase_code,code_equal,classification,used_as_first_conversion_gate
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S015_LOW_W4,15,ON,LOW,1,65,239,239,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S015_LOW_W4,15,ON,LOW,2,66,203,203,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S015_LOW_W4,15,ON,LOW,3,67,133,133,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S016_LOW_W4,16,ON,LOW,0,64,225,225,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S016_LOW_W4,16,ON,LOW,1,65,240,240,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S016_LOW_W4,16,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S016_LOW_W4,16,ON,LOW,3,67,134,134,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S017_LOW_W4,17,ON,LOW,0,64,224,224,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S017_LOW_W4,17,ON,LOW,1,65,239,239,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S017_LOW_W4,17,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S017_LOW_W4,17,ON,LOW,3,67,133,133,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S018_LOW_W4,18,ON,LOW,0,64,225,225,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S018_LOW_W4,18,ON,LOW,1,65,241,241,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S018_LOW_W4,18,ON,LOW,2,66,205,205,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S018_LOW_W4,18,ON,LOW,3,67,135,134,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S019_LOW_W4,19,ON,LOW,0,64,223,223,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S019_LOW_W4,19,ON,LOW,1,65,238,238,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S019_LOW_W4,19,ON,LOW,2,66,203,203,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S019_LOW_W4,19,ON,LOW,3,67,133,133,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S020_LOW_W4,20,ON,LOW,0,64,223,223,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S020_LOW_W4,20,ON,LOW,1,65,238,239,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S020_LOW_W4,20,ON,LOW,2,66,203,203,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S020_LOW_W4,20,ON,LOW,3,67,133,132,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,21,ON,LOW,0,64,224,225,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,21,ON,LOW,1,65,240,240,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,21,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S021_LOW_W4,21,ON,LOW,3,67,134,134,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S022_LOW_W4,22,ON,LOW,0,64,226,226,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S022_LOW_W4,22,ON,LOW,1,65,241,241,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S022_LOW_W4,22,ON,LOW,2,66,205,206,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S022_LOW_W4,22,ON,LOW,3,67,135,136,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S023_LOW_W4,23,ON,LOW,0,64,225,225,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S023_LOW_W4,23,ON,LOW,1,65,240,240,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S023_LOW_W4,23,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S023_LOW_W4,23,ON,LOW,3,67,134,134,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S024_LOW_W4,24,ON,LOW,0,64,224,225,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S024_LOW_W4,24,ON,LOW,1,65,240,240,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S024_LOW_W4,24,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S024_LOW_W4,24,ON,LOW,3,67,134,134,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S025_LOW_W4,25,ON,LOW,0,64,225,225,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S025_LOW_W4,25,ON,LOW,1,65,240,240,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S025_LOW_W4,25,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S025_LOW_W4,25,ON,LOW,3,67,134,134,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S026_LOW_W4,26,ON,LOW,0,64,225,226,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S026_LOW_W4,26,ON,LOW,1,65,241,241,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S026_LOW_W4,26,ON,LOW,2,66,205,205,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S026_LOW_W4,26,ON,LOW,3,67,134,135,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S027_LOW_W4,27,ON,LOW,0,64,224,224,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S027_LOW_W4,27,ON,LOW,1,65,231,239,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S027_LOW_W4,27,ON,LOW,2,66,195,204,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S027_LOW_W4,27,ON,LOW,3,67,133,133,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S028_LOW_W4,28,ON,LOW,0,64,224,224,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S028_LOW_W4,28,ON,LOW,1,65,240,240,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S028_LOW_W4,28,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S028_LOW_W4,28,ON,LOW,3,67,134,134,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S029_LOW_W4,29,ON,LOW,0,64,224,225,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S029_LOW_W4,29,ON,LOW,1,65,240,240,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S029_LOW_W4,29,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S029_LOW_W4,29,ON,LOW,3,67,134,134,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S030_LOW_W4,30,ON,LOW,0,64,223,223,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S030_LOW_W4,30,ON,LOW,1,65,238,238,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S030_LOW_W4,30,ON,LOW,2,66,203,202,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S030_LOW_W4,30,ON,LOW,3,67,132,132,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S031_LOW_W4,31,ON,LOW,0,64,224,224,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S031_LOW_W4,31,ON,LOW,1,65,239,239,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S031_LOW_W4,31,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S031_LOW_W4,31,ON,LOW,3,67,133,133,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S032_LOW_W4,32,ON,LOW,0,64,225,225,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S032_LOW_W4,32,ON,LOW,1,65,241,240,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S032_LOW_W4,32,ON,LOW,2,66,205,205,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S032_LOW_W4,32,ON,LOW,3,67,134,134,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S033_LOW_W4,33,ON,LOW,0,64,224,224,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S033_LOW_W4,33,ON,LOW,1,65,240,240,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S033_LOW_W4,33,ON,LOW,2,66,204,204,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S033_LOW_W4,33,ON,LOW,3,67,133,133,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S034_LOW_W4,34,ON,LOW,0,64,225,225,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S034_LOW_W4,34,ON,LOW,1,65,241,241,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S034_LOW_W4,34,ON,LOW,2,66,205,205,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S034_LOW_W4,34,ON,LOW,3,67,134,135,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S035_LOW_W4,35,ON,LOW,0,64,223,223,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S035_LOW_W4,35,ON,LOW,1,65,238,239,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S035_LOW_W4,35,ON,LOW,2,66,203,203,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S035_LOW_W4,35,ON,LOW,3,67,133,133,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S036_LOW_W4,36,ON,LOW,0,64,223,223,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S036_LOW_W4,36,ON,LOW,1,65,238,239,False,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S036_LOW_W4,36,ON,LOW,2,66,203,203,True,NOISE_ON_DIAGNOSTIC_ONLY,False
MC200_CMP_XM5_XM6_W8P2524_XM7_XM11_W16P8587_S036_LOW_W4,36,ON,LOW,3,67,133,133,True,NOISE_ON_DIAGNOSTIC_ONLY,False
