job_id,category,pvt,mismatch_seed,noise_seed,band,nfft,bin,fin_hz,maxstep_ps,solver_profile,required,state,attempt_count,measurement_stem,compact_code_checksum_sha256
D3_S016_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,16,100016,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s016_low_050ps,6d0308f1d03761382b18a143e9739b0566e2f1624b79f80e6fd9c39e8fb2e6f8
D3_S016_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,16,100016,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s016_near_nyquist_050ps,3a5830c94aeb721810ecd5b5e2e85d4920ff3cf7cf3ffdb00c2f82b7f6859a49
D3_S017_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,17,100017,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s017_low_050ps,862ad810b4a353dc521a88587726bcb66f32d8b95d06ae329d5932e43983bc94
D3_S017_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,17,100017,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s017_near_nyquist_050ps,68dadc36cf5cd7a63f8457b25485478e5d15bdad181d9fc59afb7f0b011468f5
D3_S018_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,18,100018,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s018_low_050ps,b08c72ac0e040829e3dec16218c39ce185e45e3d58d35122067acbefcb1869d9
D3_S018_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,18,100018,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s018_near_nyquist_050ps,87338cf49fd4d61c30963513d8a195debcc8001dd98729c075a0ec061e5ededa
D3_S019_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,19,100019,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s019_low_050ps,992dc0f95a6ca0e593d5a0e777db34389dc5e305bfa0a63dfeede1a2e31b57ec
D3_S019_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,19,100019,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s019_near_nyquist_050ps,69813222ea412883e9965b2ffb122216c5df035dec55f59eca6c0bc68656a788
D3_S020_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,20,100020,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s020_low_050ps,e5d5af6be7e7b907aecf4e34d401df1650b1746f06c1b253087b58935991cebd
D3_S020_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,20,100020,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s020_near_nyquist_050ps,07a921e14878fdeb0202646bd9134f65a8dfeb004d506b9aa3f27289642f121b
D3_S021_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,21,100021,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s021_low_050ps,dfe3f5d557ca4c9f19a39a553f8c502bab415945d722b57607b068fb008174f9
D3_S021_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,21,100021,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s021_near_nyquist_050ps,337dba51b51743493deb40a4b0283e10d70d19003c9fb0186bdc5452cfa2be01
D3_S022_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,22,100022,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s022_low_050ps,da189b1fda10e1a3740aab787c8ddcff936084e6ecdf1fb8ee0dc5d327b113c9
D3_S022_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,22,100022,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s022_near_nyquist_050ps,2a4c6c06121e9d6bc32275f3172a78b4e7ee8fcd4d5778925ea0d635e8fa59c5
D3_S023_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,23,100023,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s023_low_050ps,02abc24d70b2c15524343026f9c94fcf8f89e8436e987d225f9fc611d5a70935
D3_S023_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,23,100023,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s023_near_nyquist_050ps,fabeb2943e2b729c338d273a7ec9afe50995f5e1dc3bf3a1370eccecdffe9c4f
D3_S024_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,24,100024,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s024_low_050ps,7c52013b5eea0ef681ba823cda429aba93d1bb383c3f587c64ad1f0c700562b2
D3_S024_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,24,100024,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s024_near_nyquist_050ps,91d62e4ed00756f958382e22053a80daca71423dd46cd691026dd57442cae7ae
D3_S025_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,25,100025,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s025_low_050ps,81b846c8706a65f8b2e4f2e8ae68ceaef8dcaea25ac2f223a6f02db3c3ff0914
D3_S025_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,25,100025,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s025_near_nyquist_050ps,6d37d2a1fc81fe4037fb77e5dc45342a83e0afae4ed3bfe8d2520887fc7428cf
D3_S026_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,26,100026,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s026_low_050ps,5bcbfd9ba8246653163fc199f8355bf8c07547eab8948dae1ebc89ffb0428c02
D3_S026_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,26,100026,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_FAIL,1,formal_s026_near_nyquist_050ps,bbf65ba5f42d2360f1f2c1a86cf6815af310487decb6c1651190dc63cef5fba7
D3_S027_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,27,100027,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s027_low_050ps,cbe1b58f40a090e627d8b5f2404a712ebcc1cff36d09f5a5d6652dcb1693505a
D3_S027_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,27,100027,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s027_near_nyquist_050ps,4d539f93ad698b9be3f5523c6daa46088a8accf47afdb7d39f18b63910a4846c
D3_S028_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,28,100028,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s028_low_050ps,2105b3bf78e71bdcea09f42ae5256f755391984c2be00cf274c48a7cfed7a7a9
D3_S028_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,28,100028,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s028_near_nyquist_050ps,3bba7a04c2b49edd06b7a8379d166e6fc938609c875bc1e5d5c5ab257af31602
D3_S029_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,29,100029,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s029_low_050ps,040808ed1850b81ab116ce2caf21773477853d3b8efbcdf116883ef2098aeb9d
D3_S029_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,29,100029,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s029_near_nyquist_050ps,606b724ca1ff77c995b8cecb3d4516f357e4aa0ebce03204c3ffd7fe03d6a3e5
D3_S030_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,30,100030,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s030_low_050ps,87e5da546177efabc502a88e629a504abd82a85380500e42089e9cdc8bb4d192
D3_S030_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,30,100030,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s030_near_nyquist_050ps,3009232bd32aaad934340f13bbb8800d52d3f6d107aa9fd3f98b972035b7cdd5
D3_S031_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,31,100031,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s031_low_050ps,db71b829d980b8e67ffad210b9f310780e63587a8cbcdf79bef075532c9318dd
D3_S031_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,31,100031,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s031_near_nyquist_050ps,dba1b7cc32786c87350fe36a2036c2076e23ec0f74620db284eea198b0f96f21
D3_S032_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,32,100032,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s032_low_050ps,6499ae489ea781afd203df125ac2e045516f677d0f5e9e61bf97f7d1813f695e
D3_S032_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,32,100032,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s032_near_nyquist_050ps,516c74b1f0309eab062395a16d2255500fe11e924143a1d6820f18e1830230d9
D3_S033_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,33,100033,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s033_low_050ps,15bb7909849ea5563ce6591b2a7f77c8498f7ee8731351cf057e958ea4104e2b
D3_S033_NEAR_NYQUIST,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,33,100033,NEAR_NYQUIST,64,29,906250.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s033_near_nyquist_050ps,994ece8c31f9cd66a6b9846bef5b141c01f5ec22ce026cae7db8f01157999fe7
D3_S034_LOW,D3_NOISE_PLUS_MISMATCH_MC200,TT_3P3_27C,34,100034,LOW,64,7,218750.0,50,ROBUST_GEAR,True,VALID_PASS,1,formal_s034_low_050ps,b144fe38838f34404e87332a4e401ced14a0b280882d468d76354a00c4592ef1
